date,plot,volume_lysimiter.surface.chemistry,npoc_ug.mL_lysimiter.surface.chemistry,npoc_ug_lysimiter.surface.chemistry,tn_ug.mL_lysimiter.surface.chemistry,tn_ug_lysimiter.surface.chemistry,volume_m_l_lysimiter.surface.chemistry,po4_ugP.mL_lysimiter.surface.chemistry,po4_ugP_lysimiter.surface.chemistry,no3_ugN.mL_lysimiter.surface.chemistry,no3_ugN_lysimiter.surface.chemistry,nh4_ugN.mL_lysimiter.surface.chemistry,nh4_ugN_lysimiter.surface.chemistry
2018-01-30,1,655,8.222,5385.41,1.2278,804.209,655,0.01450982,9.5039321,2.83694614,1858.199722,0.637371518,417.4783441
2018-01-30,2,1390,4.342,6035.38,0.8504,1182.056,1390,0,0,0.57213944,795.2738216,0.659504643,916.7114535
2018-01-30,3,4330,9.678,41905.74,0.5692,2464.636,4330,0.15975811,691.7526163,0.0294066,127.330578,0,0
2018-01-30,4,690,22.08,15235.2,2.214,1527.66,690,0.60574871,417.9666099,0.16329438,112.6731222,0.732543955,505.4553292
2018-01-30,5,865,51.22,44305.3,0.6002,519.173,865,0.35261891,305.0153572,7.75308997,6706.422824,0,0
2018-01-30,6,,,,,,845,0.08321648,70.3179256,0,0,0,0
2018-02-13,1,240,7.028,1686.72,0.7298,175.152,240,0,0,0.03504938,8.4118512,0.281028205,67.44676909
2018-02-13,2,370,5.658,2093.46,1.2588,465.756,370,0.08020303,29.6751211,4.58415602,1696.137727,2.098157771,776.3183751
2018-02-13,3,310,11.222,3478.82,0.7694,238.514,310,0.27547459,85.3971229,5.0027477,1550.851787,0.082936735,25.71038798
2018-02-13,4,150,19.03,2854.5,2.118,317.7,150,0.04826046,7.239069,0.12020406,18.030609,1.21836605,182.7549075
2018-02-13,5,300,8.972,2691.6,0.633,189.9,300,0.12118595,36.355785,0.0396662,11.89986,0.254468454,76.34053635
2018-02-13,6,320,8.192,2621.44,1.6204,518.528,320,0.04102818,13.1290176,2.00540556,641.7297792,1.554789551,497.5326562
