date,plot,rootmortalityLength_mm.cm2.day_0-10,rootmortalityLength_mm.cm2.day_10-20,rootmortalityLength_mm.cm2.day_20-30,rootmortalityLength_mm.cm2.day_30-40,rootmortalityLength_mm.cm2.day_40-50,rootmortalityLength_mm.cm2.day_50-60,rootmortalityLength_mm.cm2.day_60-70,rootmortalityLength_mm.cm2.day_70-80,rootmortalityLength_mm.cm2.day_80-90,rootmortalityLength_mm.cm2.day_90-100,rootmortalityLength_mm.cm2.day_100-110,rootmortalityLength_mm.cm2.day_110-120,rootlength_mm.cm2_0-10,rootlength_mm.cm2_10-20,rootlength_mm.cm2_20-30,rootlength_mm.cm2_30-40,rootlength_mm.cm2_40-50,rootlength_mm.cm2_50-60,rootlength_mm.cm2_60-70,rootlength_mm.cm2_70-80,rootlength_mm.cm2_80-90,rootlength_mm.cm2_90-100,rootlength_mm.cm2_100-110,rootlength_mm.cm2_110-120,rootgrowthSA_m2.m2.day_0-10,rootgrowthSA_m2.m2.day_10-20,rootgrowthSA_m2.m2.day_20-30,rootgrowthSA_m2.m2.day_30-40,rootgrowthSA_m2.m2.day_40-50,rootgrowthSA_m2.m2.day_50-60,rootgrowthSA_m2.m2.day_60-70,rootgrowthSA_m2.m2.day_70-80,rootgrowthSA_m2.m2.day_80-90,rootgrowthSA_m2.m2.day_90-100,rootgrowthSA_m2.m2.day_100-110,rootgrowthSA_m2.m2.day_110-120,rootmortalitySA_m2.m2.day_0-10,rootmortalitySA_m2.m2.day_10-20,rootmortalitySA_m2.m2.day_20-30,rootmortalitySA_m2.m2.day_30-40,rootmortalitySA_m2.m2.day_40-50,rootmortalitySA_m2.m2.day_50-60,rootmortalitySA_m2.m2.day_60-70,rootmortalitySA_m2.m2.day_70-80,rootmortalitySA_m2.m2.day_80-90,rootmortalitySA_m2.m2.day_90-100,rootmortalitySA_m2.m2.day_100-110,rootmortalitySA_m2.m2.day_110-120,SA_m2.m2_0-10,SA_m2.m2_10-20,SA_m2.m2_20-30,SA_m2.m2_30-40,SA_m2.m2_40-50,SA_m2.m2_50-60,SA_m2.m2_60-70,SA_m2.m2_70-80,SA_m2.m2_80-90,SA_m2.m2_90-100,SA_m2.m2_100-110,SA_m2.m2_110-120,rootstock_g.m2_0-10,rootstock_g.m2_10-20,rootstock_g.m2_20-30,rootstock_g.m2_30-40,rootstock_g.m2_40-50,rootstock_g.m2_50-60,rootstock_g.m2_60-70,rootstock_g.m2_70-80,rootstock_g.m2_80-90,rootstock_g.m2_90-100,rootstock_g.m2_100-110,rootstock_g.m2_110-120,rootgrowth_g.m2.day_0-10,rootgrowth_g.m2.day_10-20,rootgrowth_g.m2.day_20-30,rootgrowth_g.m2.day_30-40,rootgrowth_g.m2.day_40-50,rootgrowth_g.m2.day_50-60,rootgrowth_g.m2.day_60-70,rootgrowth_g.m2.day_70-80,rootgrowth_g.m2.day_80-90,rootgrowth_g.m2.day_90-100,rootgrowth_g.m2.day_100-110,rootgrowth_g.m2.day_110-120,rootmortality_g.m2.day_0-10,rootmortality_g.m2.day_10-20,rootmortality_g.m2.day_20-30,rootmortality_g.m2.day_30-40,rootmortality_g.m2.day_40-50,rootmortality_g.m2.day_50-60,rootmortality_g.m2.day_60-70,rootmortality_g.m2.day_70-80,rootmortality_g.m2.day_80-90,rootmortality_g.m2.day_90-100,rootmortality_g.m2.day_100-110,rootmortality_g.m2.day_110-120
2017-02-14,1,0,0,0,0,0,0,0,0,0,0,0,0,337.8434687074825,0,73.128195351474,0,0,0,0,243.5023544217683,48.8303638699924,53.2044667422524,101.146218896447,0,0.010248035070291924,0,0,0,0,0,0,0,0,0.0210937853748232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84637804534623,0,0.56069015904793,0,0,0,0,4.93189077974021,0.308031505749903,0.710831217883169,8.82255208453302,0,130.97769437248445,0,14.29657926706795,0,0,0,0,244.37177347142477,7.16903041511977,23.9196023838869,671.200128306623,0,0.41979832397863703,0,0,0,0,0,0,0,0.0125255611987286,0.822913146769731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-27,1,4.838988351066915,0,0,0,0,0,0,0,0,0,0,0,385.98245037792844,0,73.128195351474,0,0,0,0,243.5023544217683,48.8303638699924,53.2044667422524,101.146218896447,0,0.03136853851061507,0,0,0,0,0,0,0,0,0,0,0,0.076562223725302,0,0,0,0,0,0,0,0,0,0,0,3.4513678110813197,0,0.56069015904793,0,0,0,0,4.93189077974021,0.308031505749903,0.775025901235938,8.82255208453302,0,107.70314301641531,0,14.29657926706795,0,0,0,0,244.37177347142477,7.16903041511977,26.7519780784176,671.200128306623,0,1.2552256978481084,0,0,0,0,0,0,0,0,0.217875053425443,0,0,2.35859663363928,0,0,0,0,0,0,0,0,0,0,0
2017-03-13,1,1.17527871450167,0,0,0,0,0,0,2.12191780045351,3.48788313357088,0,0,0,400.0775131802716,0,74.8676684051395,0,0,0,0,213.7955052154193,0,53.2044667422524,101.146218896447,0,0.004505344568240235,0,0,0,0,0,0,0,0,0,0,0,0.0124339001469441,0,0,0,0,0,0,0.015291665992516,0.0220022504107074,0,0,0,3.7090037871406265,0,0.57354579359434,0,0,0,0,4.717807455844985,0,0.775025901235938,8.82255208453302,0,117.68491495990685,0,14.6174595879094,0,0,0,0,239.0886771463535,0,26.7519780784176,671.200128306623,0,1.0779044290246391,0,0.0229200229172479,0,0,0,0,0,0,0,0,0,0.1557986168820045,0,0,0,0,0,0,0.120550405854664,0.148636238137408,0,0,0
2017-03-24,1,0.61161430041152,0,0,0,0,0,0,7.82656402956243,0,0,0,0,400.19258130196454,0,79.0170612244895,77.1864476190475,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.001836043892889415,0,0.00158735186729794,0.162308247851217,0,0,0,0,0,0,0,0,0.002572013976459015,0,0,0,0,0,0,0.0597089523407864,0,0,0,0,3.7283859734274367,0,0.59618246793763,1.46077423066095,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,118.46495226993244,0,15.11743813904965,55.7462271113291,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,0.136595647715332,0,0.0555531723489185,6.19402523459212,0,0,0,0,0,0,0,0,0.01070957746153305,0,0,0,0,0,0,0.504214165074503,0,0,0,0
2017-04-13,1,0,0,0,0,0,0,0,0,0,0,0,0,406.0139125472406,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.002327591138490145,0,4.37747203613025e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7970972366306515,0,0.60931488404602,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,120.46321383552521,0,15.41710657730755,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,0.09159759597737685,0,0.00998894794192985,0.429875764548107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-06,1,0,0,0,0,0,0,0,0,0,0,0,0,410.16903663076306,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,7.158499501152865e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9064625137550664,0,0.60931488404602,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,124.67261553510144,0,15.41710657730755,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,0.247611864680926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-23,1,0.081041450617284,0,0,0,0,0,0,0,0,0,0,0,498.8060293556305,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.037373388074433196,0,0,0,0,0,0,0,0,0,0,0,4.820810882409065e-4,0,0,0,0,0,0,0,0,0,0,0,4.502420394122277,0,0.60931488404602,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,139.93309728082943,0,15.41710657730755,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,1.0841147383402658,0,0,0,0,0,0,0,0,0,0,0,0.003014958303999495,0,0,0,0,0,0,0,0,0,0,0
2017-06-09,1,1.034950985449735,0,0,0,0,0,0,0,0,0,0,0,502.03953913454205,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.0071146747344105745,0,0,0,0,0,0,0,0,0,0,0,0.00483215467553805,0,0,0,0,0,0,0,0,0,0,0,4.538068031209637,0,0.60931488404602,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,140.89877094727694,0,15.41710657730755,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,0.19468950484822362,0,0,0,0,0,0,0,0,0,0,0,0.031998783004578,0,0,0,0,0,0,0,0,0,0,0
2017-06-26,1,0.426718924792139,0,0,0,0,0,0,0,0,0,0,0,638.364194501133,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.06897278462997385,0,0,0,0,0,0,0,0,0,0,0,0.00161790221138948,0,0,0,0,0,0,0,0,0,0,0,5.534354648116732,0,0.637858751007655,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,166.40336333022094,0,16.62478934583705,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,1.8516326852187102,0,0.086263054894965,0,0,0,0,0,0,0,0,0,0.0058753893823193,0,0,0,0,0,0,0,0,0,0,0
2017-07-11,1,0.3219968871252205,0,0,0,0,0,0,0,0,0,0,0,746.3802965419495,0,81.184472562358,95.0426783824639,0,0,0,143.3564289493573,0,53.2044667422524,101.146218896447,0,0.04591159620166005,0,0,0,0,0,0,0,0,0,0,0,0.001396095890134555,0,0,0,0,0,0,0,0,0,0,0,6.474129131469116,0,0.637858751007655,1.79870818876551,0,0,0,4.180426884777907,0,0.775025901235938,8.82255208453302,0,191.97278366526047,0,16.62478934583705,68.6425000477723,0,0,0,225.48178250397666,0,26.7519780784176,671.200128306623,0,1.73201781792075,0,0,0,0,0,0,0,0,0,0,0,0.0059608290699325,0,0,0,0,0,0,0,0,0,0,0
