date,plot,depth_pwchemistry,volume_ml_pwchemistry,npoc_mg.l_pwchemistry,npoc_mg_pwchemistry,tdn_mg.l_pwchemistry,tdn_mg_pwchemistry
2016-06-14,2,30,,3.172,,0.2782,
2016-06-14,3,10,,2.51,,1.9006,
2016-06-14,3,30,,2.322,,0.4482,
2016-06-14,5,30,,1.811,,0.4516,
2016-06-14,6,30,,2.86,,0.2212,
2016-06-16,2,30,,4.672,,0.4548,
2016-06-16,3,10,,3.582,,2.004,
2016-06-16,3,30,,2.492,,0.4552,
2016-06-16,5,30,,1.998,,0.459,
2016-06-16,6,30,,4.266,,0.3018,
2016-06-28,2,30,,3.006,,0.2652,
2016-06-28,3,10,,3.54,,1.5914,
2016-06-28,3,30,,2.284,,0.3236,
2016-06-28,5,30,,1.693,,0.378,
2016-06-28,6,30,,2.746,,0.232,
2016-07-12,1,10,,,,,
2016-07-12,1,30,,,,,
2016-07-12,2,10,,,,,
2016-07-12,2,30,,1.9022,,0.4862,
2016-07-12,3,10,,2.27,,4.078,
2016-07-12,3,30,,1.6754,,0.6704,
2016-07-12,4,10,,32.18,,14.904,
2016-07-12,4,30,,2.634,,1.3422,
2016-07-12,5,10,,3.112,,2.24,
2016-07-12,5,30,,1.1028,,0.5302,
2016-07-12,6,10,,,,,
2016-07-12,6,30,,1.6922,,0.3814,
2016-07-26,1,10,,,,,
2016-07-26,1,30,,,,,
2016-07-26,2,10,,3.16,,1.1918,
2016-07-26,2,30,,2.092,,1.0578,
2016-07-26,3,10,,2.288,,1.7222,
2016-07-26,3,30,,1.3498000000000001,,0.4906,
2016-07-26,4,10,,14.58,,1.2312,
2016-07-26,4,30,,,,,
2016-07-26,5,10,,,,,
2016-07-26,5,30,,1.0078,,0.6576,
2016-07-26,6,10,,,,,
2016-07-26,6,30,,1.3254,,0.351,
2016-08-09,1,10,,26.74,,6.398,
2016-08-09,1,30,,11.604,,3.514,
2016-08-09,2,10,,23.76,,5.86,
2016-08-09,2,30,,1.9664,,1.2842,
2016-08-09,3,10,,2.114,,3.34,
2016-08-09,3,30,,1.1458,,0.8154,
2016-08-09,4,10,,10.546,,3.254,
2016-08-09,4,30,,2.698,,1.442,
2016-08-09,5,10,,3.35,,4.332,
2016-08-09,5,30,,0.9268,,0.6464,
2016-08-09,6,10,,11.868,,3.382,
2016-08-09,6,30,,1.6654,,0.5694,
2016-08-25,1,10,,2.04,,1.3186,
2016-08-25,1,30,,2.18,,0.6178,
2016-08-25,2,10,,4.176,,7.81,
2016-08-25,2,30,,1.1256,,0.1318,
2016-08-25,3,10,,1.0862,,0.854,
2016-08-25,3,30,,1.0842,,0.2048,
2016-08-25,4,10,,5.2,,0.5974,
2016-08-25,4,30,,3.424,,0.5106,
2016-08-25,5,10,,,,,
2016-08-25,5,30,,1.1572,,0.4002,
2016-08-25,6,10,,1.5924,,0.4146,
2016-08-25,6,30,,1.007,,0.1115,
2016-09-07,1,10,,2.252,,2.724,
2016-09-07,1,30,,0.849,,1.227,
2016-09-07,2,10,,2.258,,4.422,
2016-09-07,2,30,,0.9682,,0.5706,
2016-09-07,3,10,,1.4792,,1.455,
2016-09-07,3,30,,0.8708,,0.4556,
2016-09-07,4,10,,4.31,,1.4502,
2016-09-07,4,30,,1.6914,,1.7616,
2016-09-07,5,10,,2.408,,2.768,
2016-09-07,5,30,,1.0768,,0.7768,
2016-09-07,6,10,,1.5294,,0.9634,
2016-09-07,6,30,,0.9198,,0.584,
2016-09-21,1,10,,1.2528,,1.0782,
2016-09-21,1,30,,0.6674,,0.4558,
2016-09-21,2,10,,1.7368,,0.3826,
2016-09-21,2,30,,0.7832,,0.1108,
2016-09-21,3,10,,1.1548,,0.4256,
2016-09-21,3,30,,1.1174,,0.1131,
2016-09-21,4,10,,4.17,,0.5292,
2016-09-21,4,30,,1.0542,,0.197,
2016-09-21,5,10,,1.0022,,0.5908,
2016-09-21,5,30,,,,,
2016-09-21,6,10,,1.336,,0.1638,
2016-09-21,6,30,,0.5582,,0.1161,
2016-09-27,1,10,,2.4,,0.968,
2016-09-27,1,30,,1.3174,,0.5006,
2016-09-27,2,10,,2.508,,0.4306,
2016-09-27,2,30,,1.3128,,0.1935,
2016-09-27,3,10,,1.4472,,0.8296,
2016-09-27,3,30,,1.1798,,0.1609,
2016-09-27,4,10,,5.466,,0.8028,
2016-09-27,4,30,,2.122,,0.1073,
2016-09-27,5,10,,2.738,,0.6438,
2016-09-27,5,30,,,,,
2016-09-27,6,10,,1.8674,,0.1777,
2016-09-27,6,30,,1.347,,0.0795,
2016-10-12,1,10,,1.321,,0.66,
2016-10-12,1,30,,0.8068,,0.428,
2016-10-12,2,10,,1.8158,,0.4712,
2016-10-12,2,30,,1.2508,,0.2128,
2016-10-12,3,10,,0.8626,,3.322,
2016-10-12,3,30,,1.0212,,0.1513,
2016-10-12,4,10,,,,,
2016-10-12,4,30,,1.6824,,0.5992,
2016-10-12,5,10,,1.6942,,0.644,
2016-10-12,5,30,,,,,
2016-10-12,6,10,,1.4224,,0.1484,
2016-10-12,6,30,,1.5352,,0.0893,
2016-10-25,1,10,,1.3806,,0.507,
2016-10-25,1,30,,0.6734,,0.4444,
2016-10-25,2,10,,1.9282,,0.5642,
2016-10-25,2,30,,0.964,,0.1667,
2016-10-25,3,10,,0.9998,,0.4338,
2016-10-25,3,30,,0.768,,0.30620000000000003,
2016-10-25,4,10,,3.178,,1.6454,
2016-10-25,4,30,,1.186,,0.443,
2016-10-25,5,10,,1.068,,0.4882,
2016-10-25,5,30,,,,,
2016-10-25,6,10,,1.0388,,0.1496,
2016-10-25,6,30,,0.7052,,0.0873,
2016-11-08,1,10,,1.0776,,0.5716,
2016-11-08,1,30,,0.6118,,0.6604,
2016-11-08,2,10,,1.2558,,0.5516,
2016-11-08,2,30,,0.7204,,0.4368,
2016-11-08,3,10,,1.5242,,0.2424,
2016-11-08,3,30,,0.883,,0.3202,
2016-11-08,4,10,,3.718,,0.9218,
2016-11-08,4,30,,1.3116,,1.3996,
2016-11-08,5,10,,1.5242,,0.2542,
2016-11-08,5,30,,,,,
2016-11-08,6,10,,1.5124,,0.2076,
2016-11-08,6,30,,0.5916,,0.2308,
2016-11-22,1,10,,0.4926,,0.6016,
2016-11-22,1,30,,1.038,,0.6426,
2016-11-22,2,10,,2.122,,0.3998,
2016-11-22,2,30,,0.4838,,0.5788,
2016-11-22,3,10,,1.5732,,0.3896,
2016-11-22,3,30,,0.6022,,0.218,
2016-11-22,4,10,,4.054,,0.4106,
2016-11-22,4,30,,0.9794,,1.1228,
2016-11-22,5,10,,1.0176,,0.398,
2016-11-22,5,30,,0.9194,,0.7636,
2016-11-22,6,10,,0.8648,,0.278,
2016-11-22,6,30,,0.4684,,0.282,
2016-12-06,1,10,,1.2184,,0.7766,
2016-12-06,1,30,,0.7516,,0.6598,
2016-12-06,2,10,,3.4,,1.3262,
2016-12-06,2,30,,0.965,,0.4356,
2016-12-06,3,10,,1.6252,,0.9532,
2016-12-06,3,30,,0.904,,0.2076,
2016-12-06,4,10,,1.4752,,0.97,
2016-12-06,4,30,,3.032,,1.8356,
2016-12-06,5,10,,1.5144,,0.5738,
2016-12-06,5,30,,2.288,,1.857,
2016-12-06,6,10,,0.9962,,0.4222,
2016-12-06,6,30,,0.7962,,0.1617,
2016-12-20,1,10,,1.585,,0.4542,
2016-12-20,1,30,,1.0898,,0.5922,
2016-12-20,2,10,,5.232,,0.9256,
2016-12-20,2,30,,1.2002,,0.2754,
2016-12-20,3,10,,0.9516,,0.579,
2016-12-20,3,30,,1.2832,,0.2372,
2016-12-20,4,10,,2.668,,1.2938,
2016-12-20,4,30,,1.1746,,0.6596,
2016-12-20,5,10,,1.3146,,1.1008,
2016-12-20,5,30,,,,,
2016-12-20,6,10,,1.3408,,0.2076,
2016-12-20,6,30,,0.8502,,0.1047,
2017-01-04,1,10,,1.375,,0.1795,
2017-01-04,1,30,,0.8652,,0.565,
2017-01-04,2,10,,4.434,,1.48,
2017-01-04,2,30,,1.3304,,0.2308,
2017-01-04,3,10,,1.2792,,0.3394,
2017-01-04,3,30,,0.803,,0.1805,
2017-01-04,4,10,,2.27,,1.2488,
2017-01-04,4,30,,,,,
2017-01-04,5,10,,1.0784,,1.1962,
2017-01-04,5,30,,,,,
2017-01-04,6,10,,1.0176,,0.1351,
2017-01-04,6,30,,0.6706,,0.1053,
2017-01-18,1,10,,1.2658,,0.1535,
2017-01-18,1,30,,0.7064,,0.5316,
2017-01-18,2,10,,4.254,,1.2386,
2017-01-18,2,30,,1.2962,,0.2206,
2017-01-18,3,10,,1.2224,,0.2448,
2017-01-18,3,30,,0.6382,,0.1793,
2017-01-18,4,10,,2.196,,0.6514,
2017-01-18,4,30,,1.2894,,0.3096,
2017-01-18,5,10,,0.8778,,1.1334,
2017-01-18,5,30,,,,,
2017-01-18,6,10,,1.3454,,0.13,
2017-01-18,6,30,,0.8016,,0.0936,
2017-01-31,1,10,,3.018,,1.6378,
2017-01-31,1,30,,1.7124,,0.512,
2017-01-31,2,10,,,,,
2017-01-31,2,30,,,,,
2017-01-31,3,10,,1.4918,,2.176,
2017-01-31,3,30,,1.3158,,0.3598,
2017-01-31,4,10,,,,,
2017-01-31,4,30,,,,,
2017-01-31,5,10,,1.641,,1.4668,
2017-01-31,5,30,,,,,
2017-01-31,6,10,,1.3604,,0.1275,
2017-01-31,6,30,,1.0538,,0.0635,
2017-02-14,1,10,,,,,
2017-02-14,1,30,,,,,
2017-02-14,2,10,,,,,
2017-02-14,2,30,,,,,
2017-02-14,3,10,,,,,
2017-02-14,3,30,,1.2622,,0.6112,
2017-02-14,4,10,,,,,
2017-02-14,4,30,,,,,
2017-02-14,5,10,,3.912,,1.6364,
2017-02-14,5,30,,,,,
2017-02-14,6,10,,4.636,,1.0964,
2017-02-14,6,30,,1.1384,,0.1636,
2017-02-28,1,10,,,,,
2017-02-28,1,30,,,,,
2017-02-28,2,10,,,,,
2017-02-28,2,30,,,,,
2017-02-28,3,10,,,,,
