date,plot,live.root.mass_g_rootigcores,date.time.installed_rootigcores,days.in.plots_rootigcores,root.N_percent_rootigcores,root.C_percent_rootigcores,root.C_count_rootigcores,length_cm_rootigcores,projected.area_cm2_rootigcores,surface.area_cm2_rootigcores,volume_cm3_rootigcores,tips_count_rootigcores,forks_count_rootigcores,crossings_count_rootigcores,mean.diam_mm_rootigcores,0_rootigcores,r25_nmolCO2.g.s_rootigcores,plot.vegtemp_c_rootigcores,soil.mean.temp_c_surf_rootigcores,soil.mean.vwc_cm3_cm3_surf_rootigcores,soil.temp_c_deepcm20_rootigcores,soil.temp_c_deepcm40_rootigcores,soil.moist_c_deepcm20_rootigcores,soil.moist_c_deepcm40_rootigcores,soil.total_carbon_percent_rootigcores,soil.total.nitrogen_percent_rootigcores,soil.tc.tn_percent_rootigcores,soil.NH4_ug.g_rootigcores,soil.NO3_ug.g_rootigcores,soil.inorganic.nitrogen_ug.g_rootigcores,soil.NH4.min.rate_ug.gsoil.d.1_rootigcores,soil.NO3.min.rate_ug.gsoil.d.1_rootigcores,soil.N.min.rate_ug.gsoil.d.1_rootigcores,soil.PO4_ug.g_rootigcores,soil.ext_c_ug.g_rootigcores,soil.ext.n_ug.g_rootigcores,soil.ubial_c_ug.g_rootigcores,soil.ubial.n_ug.g_rootigcores,soil.ubial.p_ug.g_rootigcores,soil.ubial_c.n_percent_rootigcores,resp.root.mass_g_rootigcores,remaining.root.mass_g_rootigcores,core.root.mass_g_rootigcores,resp.dead.mass_g_rootigcores,remaining.dead.mass_g_rootigcores,total.dead.mass_g_rootigcores,root.mass.per.area.gramspermetersq_rootigcores,resp.rate.at.temp.gramspermetersq_rootigcores,err25_mmol.g.d_rootigcores,err25_g.C.d_rootigcores,srl_cm.g_rootigcores,rtd_g_cm3_rootigcores
2017-07-26,4,0.213,2017-03-08,140,1.3552,38.6902,28.5503,629.0257,23.5847,74.0936,0.698,1709,2285,513,0.374940165,1.600247964,6.40008544,27.32127829,28.48073533,0.280424786,27.98978967,27.69399513,0.398110208,0.336837095,,,,,,,,,,,,,,,,,0.213,0.06,0.273,0,0.014,0.014,134.6930922,7.538031725,74.48088655,0.894515447,29.531723,0.305157593
2017-07-26,6,0.217,2017-03-07,141,1.6555,36.787,22.2216,439.3615,14.5051,45.569,0.376,1245,2156,419,0.330140442,1.066821241,12.13992055,27.35593192,28.17895394,0.323121611,27.7373775,27.42838275,0.395429465,0.387535284,,,,,,,,,,,,,,,,,0.217,0.106,0.323,0,0.016,0.016,159.3621567,12.3921326,167.1532347,2.007510349,20.24707373,0.57712766
2017-07-26,3,0.216,2017-03-07,141,2.103,39.7341,18.8937,310.7529,16.2842,51.1583,0.67,682,956,124,0.524024072,1.968168529,8.577032188,24.38787042,25.77873853,0.354705641,25.65904142,25.49841129,0.43160898,0.451224717,,,,,,,,,,,,,,,,,0.216,0.128,0.344,0,0.008,0.008,169.7231638,9.041423308,125.7742977,1.510549316,14.38670833,0.32238806
2017-07-27,4,0.205,2017-03-09,140,1.1792,42.3136,35.8829,542.256,18.0069,56.5702,0.47,875,1627,470,0.332073781,1.509266861,4.414145254,27.53454654,28.5822974,0.270017426,27.99669258,27.70398758,0.393248228,0.332951611,,,,,,,,,,,,,,,,,0.205,0.091,0.296,0,0.022,0.022,146.0408618,5.115474579,55.69737786,0.668925508,26.4515122,0.436170213
2017-07-27,3,0.133,2017-03-08,141,2.15,40.6535,18.9085,243.6284,11.8493,37.2257,0.453,439,808,114,0.486367763,0.571267235,11.74522356,24.42505508,25.82952121,0.350501774,25.69122938,25.53105517,0.429961049,0.449767512,,,,,,,,,,,,,,,,,0.133,0.086,0.219,0,0.017,0.017,108.0505025,11.21219373,109.6482794,1.316875836,18.31792481,0.293598234
2017-07-28,4,0.156,2017-03-07,143,1.3763,41.1144,29.8722,376.6128,14.5633,45.7519,0.442,565,1169,231,0.386691584,1.740303099,4.934782768,27.696188,28.67793011,0.263840112,28.03903829,27.72454608,0.390588043,0.331931657,,,,,,,,,,,,,,,,,0.156,0.064,0.22,0,0.008,0.008,108.5438838,6.050178579,46.27933811,0.555814851,24.14184615,0.352941176
2017-07-28,2,0.136,2017-03-08,142,1.2049,39.4538,32.7431,293.8541,11.3647,35.7033,0.345,902,1601,238,0.386746348,2.709663245,2.700937776,27.57309863,28.69521269,0.322062587,28.07490438,27.69281292,0.381203636,0.386780343,,,,,,,,,,,,,,,,,0.136,0.036,0.172,0,0.014,0.014,84.86158188,3.90378596,19.80338563,0.237838661,21.60691912,0.394202899
2017-07-28,5,0.28,2017-03-08,142,1.8793,43.5936,23.1968,470.4593,21.998,69.1088,0.818,832,1447,233,0.467585613,2.789237146,8.447144413,22.55936275,25.7317106,0.245459442,25.65553867,25.43048063,0.44304018,0.436159801,,,,,,,,,,,,,,,,,0.28,0.148,0.428,0,0.029,0.029,211.1671921,9.105557909,154.1168439,1.850943295,16.80211786,0.342298289
2017-07-28,3,0.168,2017-03-09,141,2.1859,38.8689,17.7819,302.9375,14.5692,45.7705,0.55,558,1032,152,0.480930885,3.272923078,7.831259891,24.43728263,25.85974593,0.348928741,25.7316105,25.56733371,0.429180023,0.449252023,,,,,,,,,,,,,,,,,0.168,0.006,0.174,0,0.012,0.012,85.84834446,8.671675793,58.08678019,0.69762223,18.03199405,0.305454545
2018-03-14,1,0.142,2017-11-01,133,1.354,40.927,30.225,711.0612,21.6046,67.8727,0.517,2241,2742,654,0.303836013,1.551214482,6.644864489,22.44591531,23.36039024,0.370812014,23.28878567,23.32689617,0.414317305,0.337900311,4.5243,0.481,9.4051,8.878741033,0.473392247,9.35213328,-0.471090674,3.025158601,2.554067926,7.51909847,377.9320544,46.02072398,213.1375961,77.3278481,21.28343678,2.756285107,0.142,0.075,0.217,0,0.005,0.005,107.0637399,6.183343681,61.46703736,0.738219119,50.07473239,0.274661509
2018-03-14,6,0.152,2017-11-02,132,1.835,39.105,21.3148,502.6776,16.8751,53.0146,0.445,3982,3994,255,0.335704237,1.512999161,16.92328155,22.31450351,23.82446624,0.385471935,23.28678979,23.16211346,0.415744209,0.40135951,4.013,0.4239,9.4676,4.696768346,0.593211538,5.289979883,3.968687083,1.349444473,5.318131556,7.583979458,260.4438257,28.40584012,389.1813758,99.4530807,14.18754904,3.913215891,0.152,0.017,0.169,0.016,0.002,0.018,83.38143801,16.11921675,121.9179645,1.464234753,33.07089474,0.341573034
