date,plot,live.root.mass_g_rootsoilcores,root.N_percent_rootsoilcores,root.C_percent_rootsoilcores,root.C_count_rootsoilcores,length_cm_rootsoilcores,projected.area_cm2_rootsoilcores,surface.area_cm2_rootsoilcores,volume_cm3_rootsoilcores,tips_count_rootsoilcores,forks_count_rootsoilcores,crossings_count_rootsoilcores,mean.diam_mm_rootsoilcores,0_rootsoilcores,r25_nmolCO2.g.s_rootsoilcores,plot.vegtemp_c_rootsoilcores,soil.mean.temp_c_surf_rootsoilcores,soil.mean.vwc_cm3_cm3_surf_rootsoilcores,soil.temp_c_deepcm20_rootsoilcores,soil.temp_c_deepcm40_rootsoilcores,soil.moist_c_deepcm20_rootsoilcores,soil.moist_c_deepcm40_rootsoilcores,soil.total_carbon_percent_rootsoilcores,soil.total.nitrogen_percent_rootsoilcores,soil.tc.tn_percent_rootsoilcores,soil.NH4_ug.g_rootsoilcores,soil.NO3_ug.g_rootsoilcores,soil.inorganic.nitrogen_ug.g_rootsoilcores,soil.NH4.min.rate_ug.gsoil.d.1_rootsoilcores,soil.NO3.min.rate_ug.gsoil.d.1_rootsoilcores,soil.N.min.rate_ug.gsoil.d.1_rootsoilcores,soil.PO4_ug.g_rootsoilcores,soil.ext_c_ug.g_rootsoilcores,soil.ext.n_ug.g_rootsoilcores,soil.ubial_c_ug.g_rootsoilcores,soil.ubial.n_ug.g_rootsoilcores,soil.ubial.p_ug.g_rootsoilcores,soil.ubial_c.n_percent_rootsoilcores,resp.root.mass_g_rootsoilcores,remaining.root.mass_g_rootsoilcores,core.root.mass_g_rootsoilcores,resp.dead.mass_g_rootsoilcores,remaining.dead.mass_g_rootsoilcores,total.dead.mass_g_rootsoilcores,root.mass.per.area.gramspermetersq_rootsoilcores,resp.rate.at.temp.gramspermetersq_rootsoilcores,err25_mmol.g.d_rootsoilcores,err25_g.C.d_rootsoilcores,srl_cm.g_rootsoilcores,rtd_g_cm3_rootsoilcores
2017-03-07,6,0.289,2.0348,40.4747,19.8913,,,,,,,,,1.354898726,5.500443587,24.15838604,24.18070157,0.267723745,25.00827021,24.83962146,0.386676106,0.375554623,6.505,0.5158,12.6112,2.573635943,1.294336268,,0.037395509,1.089008344,,0.203405091,187.3821835,18.39231975,591.5974343,123.057285,7.322528816,4.807496233,0.289,0.055,0.344,0.014,0.045,0.059,169.7231638,5.365257973,80.65895221,0.968714016,,
2017-03-07,5,0.314,2.2648,39.1451,17.2838,398.358,21.8344,68.5948,0.944,871,920,88,0.548109992,2.36053974,4.54882416,20.15461704,21.87129688,0.224762103,22.48380408,22.64801921,0.437293863,0.427561782,4.0438,0.4022,10.0541,1.57862617,2.199427737,,0.009926698,0.721439682,,0.21946591,365.0099888,35.92124365,516.1998875,117.3879695,4.234183001,4.39738322,0.314,0.023,0.337,0.093,0.101,0.194,166.2694947,3.476922272,65.34697202,0.784817134,12.68656051,0.332627119
2017-03-07,3,0.396,1.7405,38.7267,22.25,203.4829,10.998,34.5513,0.467,643,555,41,0.540487677,1.241127298,4.225932407,21.04362025,22.01276076,0.313008672,22.53262075,22.688961,0.414680463,0.428278121,3.5486,0.3391,10.4658,2.064563056,3.189483165,,-0.001930425,1.183637947,,0.473210407,262.4114358,29.79810912,174.9785636,49.29898112,2.668003654,3.549334278,0.396,0.199,0.595,0.012,0.181,0.193,293.5618675,3.961843944,107.1854735,1.287297536,5.138457071,0.847965739
2017-03-07,2,0.224,1.5909,40.4583,25.4307,237.5389,10.9958,34.5444,0.4,494,604,109,0.462905234,4.788613329,1.84067232,24.11310588,25.81912747,0.295449994,25.85239063,25.59167704,0.366653124,0.381694058,3.6456,0.3555,10.2538,1.025438489,2.926366716,,0.133484676,1.498958354,,0.298665031,286.00375,28.9168341,294.2575039,76.23574015,2.274163549,3.859836651,0.224,0.012,0.236,0.008,0.02,0.028,116.4379844,2.092639085,18.51760872,0.222396481,10.60441518,0.56
2017-03-08,1,0.568,1.7746,39.7517,22.401,615.3294,32.1058,100.8631,1.329,1552,1541,141,0.521766065,0.983567619,4.849411138,21.271405,21.85796607,0.39920656,22.45360221,22.62119271,0.390320388,0.316083729,3.7246,0.3866,9.6349,1.664712285,0.670462197,,5.44078e-4,0.995524765,,0.336277401,242.9745086,24.80520528,380.2798559,87.72306613,4.649496478,4.335004152,0.568,0.074,0.642,0.012,0.092,0.104,316.7507882,4.874723008,132.7151347,1.593908768,10.83326408,0.427389014
2017-03-08,2,0.22,1.6662,40.4375,24.2689,217.5741,11.1859,35.1416,0.452,354,457,66,0.514119098,1.854719188,2.609291685,23.81381838,25.57840911,0.310702425,25.78087946,25.59102321,0.37372126,0.387639684,3.1179,0.3168,9.8407,0.836586,2.41804614,,0.196930112,1.138873392,,2.4422595,218.8516201,24.24814631,414.6144267,94.95512427,0.156752217,4.366424981,0.22,0.09,0.31,0.015,0.023,0.038,152.9481999,2.704207941,34.48107068,0.414117659,9.889731818,0.486725664
2017-03-08,4,0.28,1.6612,42.8085,25.7703,401.0411,17.6139,55.3359,0.619,813,1136,198,0.439204361,0.830462688,2.422507308,23.82252296,25.42547996,0.217022287,25.65813342,25.6333565,0.365282412,0.322205715,4.6782,0.4318,10.8353,1.025635236,2.571638769,,0.124469003,1.607353648,,0.364603757,452.9977918,44.57962503,364.4193613,90.30673728,4.045360069,4.035350764,0.28,0.045,0.325,0.027,0.082,0.109,160.3489192,2.40343471,33.56177144,0.403076875,14.32289643,0.452342488
2017-03-08,6,0.333,1.9676,38.4999,19.5673,398.2095,20.3874,64.049,0.825,932,1112,135,0.511976736,2.184117613,3.084936216,23.8572535,24.00262482,0.283912841,24.91533221,24.80103283,0.394083015,0.382011427,4.619,0.4184,11.0396,1.031055327,0.559463326,,0.071084079,0.61742928,,1.499037988,254.9987014,23.81241526,500.4580887,119.4538149,3.169471605,4.189553003,0.333,0.031,0.364,0.029,0.1,0.129,179.5907896,2.853695568,47.8678577,0.574892971,11.95824324,0.403636364
2017-03-08,5,0.471,2.1903,40.7312,18.5958,433.5375,24.8824,78.1704,1.138,1075,1503,156,0.573938817,0.917217988,6.312360631,20.02292217,21.74902492,0.235309001,22.44796121,22.63655483,0.44207255,0.432117289,4.0151,0.3881,10.3447,3.178685772,0.812223384,,-0.338677428,1.094076236,,1.47771705,280.2623373,28.74159007,355.2477486,87.64192221,2.229147146,4.053399784,0.471,0.144,0.615,0.02,0.122,0.142,303.4294933,6.492199827,165.4867919,1.987496371,9.204617834,0.413884007
2017-03-08,3,0.708,1.9221,42.9861,22.3642,715.2136,41.0231,128.8783,1.86,1460,2440,223,0.573578299,2.245254646,4.781753239,20.92060546,21.90654033,0.322522376,22.50640233,22.68420917,0.41986018,0.432724725,3.1525,0.321,9.8216,2.160188664,0.937346852,,0.115588998,1.939640479,,0.249187396,315.6427215,34.86277556,296.6824038,78.83071764,5.194448398,3.763538031,0.708,0.231,0.939,0.002,0.196,0.198,463.2850313,3.723270273,191.40319,2.298752312,10.10188701,0.380645161
