date,plot,tfvol_ml_plotmean_throughfall,npoc_mgC.L_plotmean_throughfall,npoc_mgC_plotmean_throughfall,tdn_mgN.L_plotmean_throughfall,tdn_mgN_plotmean_throughfall,tfvol_ml_sitemean_throughfall,tfvol_ml_siteSD_throughfall,npoc_mgC.L_sitemean_throughfall,npoc_mgC.L_siteSD_throughfall,npoc_mgC_sitemean_throughfall,npoc_mgC_siteSD_throughfall,tdn_mgN.L_sitemean_throughfall,tdn_mgN.L_siteSD_throughfall,tdn_mgN_sitemean_throughfall,tdn_mgN_siteSD_throughfall
2023-08-10,1,4800,6.515,31.272,0.8562,4.10976,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-08-10,2,1255,3.497,4.388735,0.3304,0.414652,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-08-10,3,2245,4.451,9.992495,0.3185,0.7150325,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-08-10,4,,,,,,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-08-10,5,1160,4.972,5.76752,0.6091,0.706556,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-08-10,6,1695,11.084999999999999,15.1495,3.5332,3.185661,2398.8888888888887,1540.525027745772,6.072333333333333,3.7828667700568044,12.120102222222222,8.53800618653519,1.235511111111111,1.9504253910650133,1.8258247222222221,1.5705525324853649
2023-10-12,1,2780,12.23,33.9994,0.5051,1.404178,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-12,2,1880,28.16,52.9408,0.4545,0.85446,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-12,3,1200,29.22,35.064,0.3929,0.47148,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-12,4,8120,6.523,52.96676,0.1288,1.045856,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-12,5,1900,18.43,35.017,0.2133,0.40527,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-12,6,3980,41.455,51.7798,0.7763500000000001,4.17104,3126.6666666666665,2213.30070257071,21.7203,18.405355525257075,40.60597333333333,13.010681143060882,0.46014,0.26447972070967307,1.2907457777777778,1.1851173807945963
2023-10-26,1,3880,5.953,23.09764,0.6104,2.368352,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-10-26,2,2210,11.72,25.9012,0.8017,1.771757,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-10-26,3,2310,10.65,24.6015,0.6373,1.472163,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-10-26,4,6480,5.404,35.01792,0.3388,2.195424,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-10-26,5,1680,11.65,19.572,0.3346,0.562128,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-10-26,6,2350,18.634999999999998,32.51525,2.15015,2.9417225,3025,1783.9111213535525,10.1843,5.971784640196671,24.299303,11.720527435940046,0.80925,0.9117020946802987,1.7519528,1.0268732928337794
2023-11-08,1,9240,3.006,27.77544,0.3993,3.689532,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-08,2,3200,6.599,21.1168,0.2214,0.70848,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-08,3,7250,4.463,32.35675,0.1527,1.107075,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-08,4,11450,3.605,41.27725,0.1466,1.67857,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-08,5,3000,6.833,20.499,0.2578,0.7734,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-08,6,4210,6.1825,26.63718,0.9668,2.792744,5753,3161.683974649515,4.5249,1.7602098012579195,23.913237,12.301466364450713,0.38977,0.3960524854387638,1.7383908,1.0381783874417088
2023-11-22,1,2290,4.783,10.95307,1.696,3.88384,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-11-22,2,1530,15.9,24.327,1.157,1.77021,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-11-22,3,1940,8.476,16.44344,0.8753,1.698082,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-11-22,4,6390,2.846,18.18594,0.3227,2.062053,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-11-22,5,810,7.601,6.15681,0.4351,0.352431,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-11-22,6,1135,11.89,12.8002,1.60775,1.3781525000000001,2006,1674.62898046768,7.9208,4.164214819947053,12.819606,6.704125096143253,0.95399,0.6470462021113071,1.4872327,1.0060548757572323
2023-12-07,1,1510,5.789,8.74139,1.165,1.75915,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-07,2,2000,9.272,18.544,1.91,3.82,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-07,3,1030,15.95,16.4285,1.189,1.22467,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-07,4,3840,2.82,10.8288,0.4783,1.836672,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-07,5,460,6.265,2.8819,0.3876,0.178296,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-07,6,695,7.346,4.711795,1.7683499999999999,0.7297754999999999,1337,1029.822530557787,6.9624,3.661013162743038,8.162661,5.647909390159729,1.11489,0.8371263086031615,1.2207007,1.0571788871026353
2023-12-21,1,3090,3.832,11.84088,0.5981,1.848129,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2023-12-21,2,2360,5.172,12.20592,0.3425,0.8083,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2023-12-21,3,2400,20.16,48.384,0.2602,0.62448,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2023-12-21,4,4690,1.889,8.85941,0.2911,1.365259,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2023-12-21,5,1100,5.93,6.523,0.4534,0.49874,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2023-12-21,6,960,7.4745,7.0201199999999995,1.0824,1.1133600000000001,2224,1246.0176563757032,6.5068,5.26477727290845,13.101431999999999,13.315411380847214,0.62842,0.4033197347569847,1.1781464,0.8895658250825011
2024-01-04,1,2410,3.242,7.81322,0.6387,1.539267,1696,1085.2055616845644,4.0667,2.5104255526813684,6.018858,4.341893363091984,0.58323,0.36396823747256973,0.8232638999999999,0.7260850865750973
2024-01-04,2,1750,3.028,5.299,0.221,0.38675,1696,1085.2055616845644,4.0667,2.5104255526813684,6.018858,4.341893363091984,0.58323,0.36396823747256973,0.8232638999999999,0.7260850865750973
2024-01-04,3,1600,10.37,16.592,0.2456,0.39296,1696,1085.2055616845644,4.0667,2.5104255526813684,6.018858,4.341893363091984,0.58323,0.36396823747256973,0.8232638999999999,0.7260850865750973
2024-01-04,4,4000,1.836,7.344,0.6597,2.6388,1696,1085.2055616845644,4.0667,2.5104255526813684,6.018858,4.341893363091984,0.58323,0.36396823747256973,0.8232638999999999,0.7260850865750973
