Core,Date,TC,TN,TC/TN,NH4,NO3,NH4 Min rate,NO3 Min rate,PO4,Ext C,Ext N,ubial C ,ubial N,ubial P,ubial C/N,Notes
1,11/2/17,4.2209,0.4576,9.2241,1.021359234,6.827021738,-0.145908462,0.797279093,0,276.1104943,27.1055007,218.8591316,63.17658897,0.755016211,3.464244194,Went into ground on 11/2/2017 ish
2,11/2/17,,,,2.092149384,8.518619854,-0.298878483,2.003584803,0,246.6554927,22.62976165,206.4705293,61.60738473,3.580645735,3.351392536,Went into ground on 11/2/2017 ish
3,11/2/17,,,,0.519628632,5.934512636,0.095651692,0.976438731,0,193.3274577,19.67964959,484.5167968,74.37924081,2.83042637,6.514140123,Went into ground on 11/2/2017 ish
4,11/2/17,,,,0,5.988272726,0,0.615492312,0,231.783572,23.79336516,271.1696117,72.68802506,3.940733544,3.730595397,Went into ground on 11/2/2017 ish
pre sp1,3/1/17,6.1384,0.5838,10.5147,6.351452636,11.53910223,-0.340572274,1.842617536,0.738541936,332.3315239,47.41746775,377.3646666,115.0661214,50.70274893,3.279546248,Went into ground in march 2018
pre sp2,3/1/17,5.9683,0.5776,10.3334,6.785580218,10.44090474,1.716877325,1.490920132,1.952306319,271.6734235,40.50466725,419.2258884,122.8188498,48.89190949,3.413367649,Went into ground in march 2018
pre sp3,3/1/17,,,,4.775648301,12.7099667,-0.238714183,1.493390723,1.072114169,319.4646427,44.6953963,511.7400165,144.4585634,23.36510365,3.542469234,Went into ground in march 2018
pre sp4,3/1/17,,,,4.360803537,11.03769726,0.038229009,1.428668853,0,344.0139093,48.3071883,337.0651966,111.3989661,38.35318381,3.025747979,Went into ground in march 2018
sp1,7/25/18,4.8077,0.4955,9.7025,4.496096697,4.800612199,0.29982298,3.180584704,3.959838837,277.6253614,35.10180612,441.234748,111.9612697,30.23893065,3.940958771,Went into ground in July 2018
sp2,7/25/18,,,,4.568286539,4.488596904,0.145507657,3.150899428,3.377871884,292.8057017,35.8717542,397.6884055,103.3687179,35.41347795,3.847280043,Went into ground in July 2018
sp3,7/25/18,,,,5.290909091,4.829130924,0.038501339,2.06064037,4.402309817,269.6034154,32.69888498,621.1300915,139.3207506,34.19096266,4.458274083,Went into ground in July 2018
