Bag number,,,Volume,Raw,Dilution,Volume,Raw,Dilution,Volume,,
,Sample Name,Sample ID,,NPOC,mg NPOC/L,mg NPOC,TN,mg TDN/L,mg TDN,Notes,
1,6/14/2016,2-30,,1.5860,3.1720,,0.1391,0.2782,,,
1,6/14/2016,3-10,,1.2550,2.5100,,0.9503,1.9006,,,
1,6/14/2016,3-30,,1.1610,2.3220,,0.2241,0.4482,,,
1,6/14/2016,5-30,,0.9055,1.8110,,0.2258,0.4516,,,
1,6/14/2016,6-30,,1.4300,2.8600,,0.1106,0.2212,,,
1,6/16/2016,2-30,,2.3360,4.6720,,0.2274,0.4548,,,
1,6/16/2016,3-10,,1.7910,3.5820,,1.0020,2.0040,,,
1,6/16/2016,3-30,,1.2460,2.4920,,0.2276,0.4552,,,
1,6/16/2016,5-30,,0.9990,1.9980,,0.2295,0.4590,,,
1,6/16/2016,6-30,,2.1330,4.2660,,0.1509,0.3018,,,
1,6/28/2016,2-30,,1.5030,3.0060,,0.1326,0.2652,,,
1,6/28/2016,3-10,,1.7700,3.5400,,0.7957,1.5914,,,
1,6/28/2016,3-30,,1.1420,2.2840,,0.1618,0.3236,,,
1,6/28/2016,5-30,,0.8465,1.6930,,0.1890,0.3780,,,
1,6/28/2016,6-30,,1.3730,2.7460,,0.1160,0.2320,,,
1,7/12/2016,1-10,,,,,,,,,
1,7/12/2016,1-30,,,,,,,,,
1,7/12/2016,2-10,,,,,,,,,
1,7/12/2016,2-30,,0.9511,1.9022,,0.2431,0.4862,,,
1,7/12/2016,3-10,,1.1350,2.2700,,2.0390,4.0780,,,
1,7/12/2016,3-30,,0.8377,1.6754,,0.3352,0.6704,,,
1,7/12/2016,4-10,,16.0900,32.1800,,7.4520,14.9040,,,
1,7/12/2016,4-30,,1.3170,2.6340,,0.6711,1.3422,,,
1,7/12/2016,5-10,,1.5560,3.1120,,1.1200,2.2400,,,
1,7/12/2016,5-30,,0.5514,1.1028,,0.2651,0.5302,,,
1,7/12/2016,6-10,,,,,,,,,
1,7/12/2016,6-30,,0.8461,1.6922,,0.1907,0.3814,,,
1,7/26/2016,1-10,,,,,,,,,
1,7/26/2016,1-30,,,,,,,,,
1,7/26/2016,2-10,,1.5800,3.1600,,0.5959,1.1918,,,
1,7/26/2016,2-30,,1.0460,2.0920,,0.5289,1.0578,,,
1,7/26/2016,3-10,,1.1440,2.2880,,0.8611,1.7222,,,
1,7/26/2016,3-30,,0.6749,1.3498,,0.2453,0.4906,,,
1,7/26/2016,4-10,,7.2900,14.5800,,0.6156,1.2312,,,
1,7/26/2016,4-30,,,,,,,,,
1,7/26/2016,5-10,,,,,,,,,
1,7/26/2016,5-30,,0.5039,1.0078,,0.3288,0.6576,,,
1,7/26/2016,6-10,,,,,,,,,
1,7/26/2016,6-30,,0.6627,1.3254,,0.1755,0.3510,,,
1,8/9/2016,1-10,,13.3700,26.7400,,3.1990,6.3980,,,
