Date,Plot,NPOC ug,TDN ug,PO4-P ug,NO3-N ug,NH4-N ug,comments,
1/30/18,1,5385.41,804.209,9.5039321,1858.199722,417.4783441,,
1/30/18,2,6035.38,1182.056,BDL,795.2738216,916.7114535,,
1/30/18,3,41905.74,2464.636,691.7526163,127.330578,BDL,,
1/30/18,4,15235.2,1527.66,417.9666099,112.6731222,505.4553292,,
1/30/18,5,44305.3,519.173,305.0153572,6706.422824,BDL,,
1/30/18,6,N/A,N/A,70.3179256,BDL,BDL,,
2/13/18,1,1686.72,175.152,BDL,8.4118512,67.44676909,,
2/13/18,2,2093.46,465.756,29.6751211,1696.137727,776.3183751,,
2/13/18,3,3478.82,238.514,85.3971229,1550.851787,25.71038798,,
2/13/18,4,2854.5,317.7,7.239069,18.030609,182.7549075,,
2/13/18,5,2691.6,189.9,36.355785,11.89986,76.34053635,,
2/13/18,6,2621.44,518.528,13.1290176,641.7297792,497.5326562,,
2/27/18,1,41959.4,2874.12,BDL,2063.153072,99.66238058,,
2/27/18,2,6872.4,768.43,BDL,297.514959,171.7365271,,
2/27/18,3,66758.5,5183.2,BDL,41991.52663,239.6601597,,
2/27/18,4,5747.28,466.62,19.108155,1208.23065,155.5531164,,
2/27/18,5,2997.12,224.448,BDL,360.8629696,3.875435292,,
2/27/18,6,4969.58,779.394,10.7084901,474.5169044,581.9534773,,
3/13/18,1,1669.92,137.088,4.5626728,40.8873304,BDL,,
3/13/18,2,1381.38,211.462,10.4068123,39.0915176,78.3811577,,
3/13/18,3,4120.56,338.976,3.9217248,142.8121008,5.156657205,,
3/13/18,4,1241,107.1,11.694449,25.3880225,BDL,,
3/13/18,5,662.16,48.276,2.570175,145.8399588,BDL,,
3/13/18,6,2032.8,456.28,55.9636968,144.0404284,132.1874095,,
3/27/18,1,2291.52,966.24,215.0988696,484.2520992,726.6597653,,
3/27/18,2,10245.75,1493.97,96.2538195,881.088387,474.583494,,
3/27/18,3,2994.3,687.78,28.76868,1921.826358,603.5422023,,
3/27/18,4,9859.07,1833.53,15.85855935,229.4888683,1031.513078,,
3/27/18,5,12927,1646.7,16.34052,116.44008,858.1181983,,
3/27/18,6,13198.92,2864.82,93.043209,5354.624927,1193.58953,,
4/10/18,1,464.58,103.14,4.6480977,41.6794974,54.81080966,,
4/10/18,2,3269.28,503.916,20.6944444,184.5800894,142.5841743,,
4/10/18,3,1473.6,333.408,15.9218784,164.7681552,231.0548294,,
4/10/18,4,2412.9,425.4,35.1737505,459.16776,179.9329341,,
4/10/18,5,3140.56,221.26,54.2046041,2783.042316,BDL,,
4/10/18,6,3330.64,920.04,47.9654048,295.3382392,427.4136664,,
4/24/18,1,7848.9,1132.506,BDL,2795.139436,678.8712106,,
4/24/18,2,12523.32,1871.016,BDL,756.1420656,856.3907317,,
4/24/18,3,,,1132.810826,4702.167462,868.6870585,,
4/24/18,4,30987.36,2353.536,685.549818,24730.25956,275.8861553,,
4/24/18,5,7944,516.8,BDL,349.15988,BDL,,
4/24/18,6,12343.7,1993.86,32.062509,1166.804487,1366.444224,,
5/8/18,1,15992.28,1322.46,6203.198589,13200.55377,110.978225,,
5/8/18,2,N/A,N/A,124.492525,220.939891,104.555342,,
5/8/18,3,37869.52,3646.344,3035.573336,1835.564162,912.2591559,,
5/8/18,4,3701.58,253.764,23.54493015,54.5798598,BDL,,
5/8/18,5,8712,574.56,18.523782,64.47393,BDL,,
5/8/18,6,14414.4,2044.224,BDL,28968.18641,1102.866796,,
5/22/18,1,1258.08,168.768,BDL,279.8808672,37.69984904,,
5/22/18,2,N/A,N/A,96.0664032,106.6977984,56.27667803,,
5/22/18,3,1276.21,216.32,20.608913,75.2008816,50.9242593,,
5/22/18,4,4007.68,268.16,64.2371296,BDL,BDL,,
5/22/18,5,7939.36,560.768,21.3581888,97.270264,BDL,,
5/22/18,6,8286.24,2488.8,137.5529138,472.0834652,1574.164422,,
6/5/18,1,376.87,81.38,BDL,9.1136682,148.0333454,,
6/5/18,2,3199.3,458.25,356.9123025,723.666671,112.1743297,,
6/5/18,3,4798.64,779.68,48.8136968,154.6855376,268.7571778,,
6/5/18,4,2906,250.1,14.17453,206.64438,BDL,,
6/5/18,5,7101.36,536.76,41.8234446,349.8880392,BDL,,
6/5/18,6,7667.6,1702.88,76.0949705,6704.300446,937.0259132,,
6/19/18,1,964.32,105.714,42.4087461,41.7249,102.9391096,,
6/19/18,2,6829.92,854.928,81.4120308,369.710352,168.4541319,,
6/19/18,3,3310.8,361.86,27.677049,20.517924,141.0799271,,
6/19/18,4,13098.5,720.82,29.161976,BDL,BDL,,
6/19/18,5,8309.9,477.71,BDL,54.7599985,BDL,,
6/19/18,6,11639.25,2285.325,209.8526063,6368.473283,2107.168757,,
7/4/18,1,48822.36,3712.968,BDL,370.66841,2469.9744,,
7/4/18,2,6335.68,803.296,136.4683008,399.8740241,558.4098,,
7/4/18,3,3402.72,254.898,23.3389974,23.08323328,BDL,,
7/4/18,4,13729.5,1082.808,36.3227409,26.64382049,167.8431375,,
7/4/18,5,6364.92,327.2856,BDL,24.95059788,BDL,,
7/4/18,6,9322,1338.26,56.980093,504.5597877,BDL,,
7/17/18,1,13315.44,1317.592,BDL,421.6394748,5681.7667,,
7/17/18,2,7941.44,764.608,145.1592064,129.8119576,83.3222,,
7/17/18,3,6670.72,645.344,BDL,205.2564149,BDL,,
7/17/18,4,22314.6,1815,BDL,52.35141347,#VALUE!,,
7/17/18,5,10641.68,577.84,97.5470924,16.63373192,#VALUE!,,
7/17/18,6,19614.96,2326.32,322.5698964,331.8486386,181.9179,,
7/31/18,1,330.48,110.256,9.0132444,101.2452129,5.20455,,
7/31/18,2,7407.76,684.126,44.4458287,158.4835035,BDL,,
7/31/18,3,17482.8,898.28,31.7189842,29.54846247,34.424575,,
7/31/18,4,16265.64,1181.92,456.7589381,15.57254466,142.2231125,,
7/31/18,5,8870.4,458.052,22.0720542,4.605104776,BDL,,
