Date,Plot,Volume,NPOC,NPOC dilution,NPOC ug,TN,TN dilution,TN ug,
,,mL,ug/mL,ug/mL,ug,ug/mL,ug/mL,ug,
30-Jan-18,1,655,4.111,8.222,5385.41,0.6139,1.2278,804.209,
30-Jan-18,2,1390,2.171,4.342,6035.38,0.4252,0.8504,1182.056,
30-Jan-18,3,4330,4.839,9.678,41905.74,0.2846,0.5692,2464.636,
30-Jan-18,4,690,11.04,22.08,15235.2,1.107,2.214,1527.66,
30-Jan-18,5,865,25.61,51.22,44305.3,0.3001,0.6002,519.173,
30-Jan-18,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13-Feb-18,1,240,3.514,7.028,1686.72,0.3649,0.7298,175.152,
13-Feb-18,2,370,2.829,5.658,2093.46,0.6294,1.2588,465.756,
13-Feb-18,3,310,5.611,11.222,3478.82,0.3847,0.7694,238.514,
13-Feb-18,4,150,9.515,19.03,2854.5,1.059,2.118,317.7,
13-Feb-18,5,300,4.486,8.972,2691.6,0.3165,0.633,189.9,
13-Feb-18,6,320,4.096,8.192,2621.44,0.8102,1.6204,518.528,
27-Feb-18,1,4300,4.879,9.758,41959.4,0.3342,0.6684,2874.12,
27-Feb-18,2,1150,2.988,5.976,6872.4,0.3341,0.6682,768.43,
27-Feb-18,3,7750,4.307,8.614,66758.5,0.3344,0.6688,5183.2,
27-Feb-18,4,330,8.708,17.416,5747.28,0.707,1.414,466.62,
27-Feb-18,5,320,4.683,9.366,2997.12,0.3507,0.7014,224.448,
27-Feb-18,6,770,3.227,6.454,4969.58,0.5061,1.0122,779.394,
13-Mar-18,1,140,5.964,11.928,1669.92,0.4896,0.9792,137.088,
13-Mar-18,2,230,3.003,6.006,1381.38,0.4597,0.9194,211.462,
13-Mar-18,3,360,5.723,11.446,4120.56,0.4708,0.9416,338.976,
13-Mar-18,4,50,12.41,24.82,1241,1.071,2.142,107.1,
13-Mar-18,5,60,5.518,11.036,662.16,0.4023,0.8046,48.276,
13-Mar-18,6,220,4.62,9.24,2032.8,1.037,2.074,456.28,
27-Mar-18,1,240,4.774,9.548,2291.52,2.013,4.026,966.24,
27-Mar-18,2,1425,3.595,7.19,10245.75,0.5242,1.0484,1493.97,
27-Mar-18,3,450,3.327,6.654,2994.3,0.7642,1.5284,687.78,
27-Mar-18,4,905,5.447,10.894,9859.07,1.013,2.026,1833.53,
