Run,Date and plot,Date,Plot,Volume mL,PO4-P mg/L,PO4-P ug,NO3-N mg/L,NO3-N ug,NH4-N mg/L,NH4-N ug
1,30 JAN 18-1,1/30/18,1,655,0.01450982,9.5039321,2.83694614,1858.199722,0.637371518,417.4783441
1,30 JAN 18-2,1/30/18,2,1390,BDL,BDL,0.57213944,795.2738216,0.659504643,916.7114535
1,30 JAN 18-3,1/30/18,3,4330,0.15975811,691.7526163,0.0294066,127.330578,BDL,BDL
1,30 JAN 18-4,1/30/18,4,690,0.60574871,417.9666099,0.16329438,112.6731222,0.732543955,505.4553292
1,30 JAN 18-5,1/30/18,5,865,0.35261891,305.0153572,7.75308997,6706.422824,BDL,BDL
1,30 JAN 18-6,1/30/18,6,845,0.08321648,70.3179256,BDL,BDL,BDL,BDL
1,13 FEB 18-1,2/13/18,1,240,BDL,BDL,0.03504938,8.4118512,0.281028205,67.44676909
1,13 FEB 18-2,2/13/18,2,370,0.08020303,29.6751211,4.58415602,1696.137727,2.098157771,776.3183751
1,13 FEB 18-3,2/13/18,3,310,0.27547459,85.3971229,5.0027477,1550.851787,0.082936735,25.71038798
1,13 FEB 18-4,2/13/18,4,150,0.04826046,7.239069,0.12020406,18.030609,1.21836605,182.7549075
1,13 FEB 18-5,2/13/18,5,300,0.12118595,36.355785,0.0396662,11.89986,0.254468454,76.34053635
1,13 FEB 18-6,2/13/18,6,320,0.04102818,13.1290176,2.00540556,641.7297792,1.554789551,497.5326562
1,27 FEB 18-1,2/27/18,1,4300,BDL,BDL,0.47980304,2063.153072,0.023177298,99.66238058
1,27 FEB 18-2,2/27/18,2,1150,BDL,BDL,0.25870866,297.514959,0.149336111,171.7365271
1,27 FEB 18-3,2/27/18,3,7750,BDL,BDL,5.4182615,41991.52663,0.030923892,239.6601597
1,27 FEB 18-4,2/27/18,4,330,0.0579035,19.108155,3.661305,1208.23065,0.47137308,155.5531164
1,27 FEB 18-5,2/27/18,5,320,BDL,BDL,1.12769678,360.8629696,0.012110735,3.875435292
1,27 FEB 18-6,2/27/18,6,770,0.01390713,10.7084901,0.61625572,474.5169044,0.755783737,581.9534773
1,13 MAR 18-1,3/13/18,1,140,0.03259052,4.5626728,0.29205236,40.8873304,BDL,BDL
1,13 MAR 18-2,3/13/18,2,230,0.04524701,10.4068123,0.16996312,39.0915176,0.340787642,78.3811577
1,13 MAR 18-3,3/13/18,3,360,0.01089368,3.9217248,0.39670028,142.8121008,0.014324048,5.156657205
1,13 MAR 18-4,3/13/18,4,50,0.23388898,11.694449,0.50776045,25.3880225,BDL,BDL
1,13 MAR 18-5,3/13/18,5,60,0.04283625,2.570175,2.43066598,145.8399588,BDL,BDL
1,13 MAR 18-6,3/13/18,6,220,0.25438044,55.9636968,0.65472922,144.0404284,0.600851861,132.1874095
1,27 MARCH 18-1,3/27/18,1,240,0.89624529,215.0988696,2.01771708,484.2520992,3.027749022,726.6597653
1,27 MAR 18-2,3/27/18,2,1425,0.06754654,96.2538195,0.61830764,881.088387,0.333041048,474.583494
1,27 MAR 18-3,3/27/18,3,450,0.0639304,28.76868,4.27072524,1921.826358,1.341204894,603.5422023
1,27 MARCH 18-4,3/27/18,4,905,0.01752327,15.85855935,0.25357886,229.4888683,1.139793456,1031.513078
1,27 MAR 18-5,3/27/18,5,1500,0.01089368,16.34052,0.07762672,116.44008,0.572078799,858.1181983
1,27 MAR 18-6,3/27/18,6,1330,0.0699573,93.043209,4.02603378,5354.624927,0.897435737,1193.58953
1,10 APRIL 18-1,4/10/18,1,30,0.15493659,4.6480977,1.38931658,41.6794974,1.827026989,54.81080966
1,10 APRIL 18-2,4/10/18,2,490,0.04223356,20.6944444,0.37669406,184.5800894,0.290988111,142.5841743
1,10 APRIL 18-3,4/10/18,3,240,0.06634116,15.9218784,0.68653398,164.7681552,0.962728456,231.0548294
1,10 APRIL 18-4,4/10/18,4,150,0.23449167,35.1737505,3.0611184,459.16776,1.199552894,179.9329341
1,10 APRIL 18-5,4/10/18,5,370,0.14649893,54.2046041,7.52173599,2783.042316,BDL,BDL
1,10 APRIL 18-6,4/10/18,6,340,0.14107472,47.9654048,0.86864188,295.3382392,1.257099019,427.4136664
1,24 APRIL 18-1,4/24/18,1,1530,BDL,BDL,1.82688852,2795.139436,0.443706674,678.8712106
1,24 APRIL 18-2,4/24/18,2,2580,BDL,BDL,0.29307832,756.1420656,0.331934392,856.3907317
1,24 APRIL 18-3,4/24/18,3,7340,0.1543339,1132.810826,0.64062227,4702.167462,0.118349735,868.6870585
1,24 APRIL 18-4,4/24/18,4,3240,0.21158945,685.549818,7.63279616,24730.25956,0.085150048,275.8861553
1,24 APRIL 18-5,4/24/18,5,2000,BDL,BDL,0.17457994,349.15988,BDL,BDL
1,24 APRIL 18-6,4/24/18,6,2650,0.01209906,32.062509,0.44030358,1166.804487,0.51563933,1366.444224
1,8 MAY 18-1,5/8/18,1,2790,2.22336867,6203.198589,4.73138128,13200.55377,0.039777142,110.978225
1,8 MAY 18-2,5/8/18,2,2150,0.0579035,124.492525,0.10276274,220.939891,0.048630392,104.555342
1,8 MAY 18-3,5/8/18,3,6760,0.44904931,3035.573336,0.27153316,1835.564162,0.134949579,912.2591559
1,8 MAY 18-4,5/8/18,4,285,0.08261379,23.54493015,0.19150828,54.5798598,BDL,BDL
1,8 MAY 18-5,5/8/18,5,1800,0.01029099,18.523782,0.03581885,64.47393,BDL,BDL
1,8 MAY 18-6,5/8/18,6,4680,BDL,BDL,6.18978342,28968.18641,0.235655298,1102.866796
1,22 MAY 18-1,5/22/18,1,240,BDL,BDL,1.16617028,279.8808672,0.157082704,37.69984904
1,22 MAY 18-2,5/22/18,2,480,0.20013834,96.0664032,0.22228708,106.6977984,0.117243079,56.27667803
1,22 MAY 18-3,5/22/18,3,65,0.3170602,20.608913,1.15693664,75.2008816,0.783450143,50.9242593
1,22 MAY 18-4,5/22/18,4,320,0.20074103,64.2371296,BDL,BDL,BDL,BDL
1,22 MAY 18-5,5/22/18,5,1040,0.02053672,21.3581888,0.0935291,97.270264,BDL,BDL
1,22 MAY 18-6,5/22/18,6,1220,0.11274829,137.5529138,0.38695366,472.0834652,1.290298706,1574.164422
1,5 JUNE 18-1,6/5/18,1,65,BDL,BDL,0.14021028,9.1136682,2.277436083,148.0333454
1,5 JUNE 18-2,6/5/18,2,650,0.54909585,356.9123025,1.11333334,723.666671,0.172575892,112.1743297
1,5 JUNE 18-3,6/5/18,3,440,0.11094022,48.8136968,0.35155804,154.6855376,0.610811768,268.7571778
1,5 JUNE 18-4,6/5/18,4,250,0.05669812,14.17453,0.82657752,206.64438,BDL,BDL
1,5 JUNE 18-5,6/5/18,5,1260,0.03319321,41.8234446,0.27768892,349.8880392,BDL,BDL
1,5 JUNE 18-6,6/5/18,6,1450,0.05247929,76.0949705,4.62365548,6704.300446,0.646224768,937.0259132
1,19 JUNE 18-1,6/19/18,1,210,0.20194641,42.4087461,0.19869,41.7249,0.490186236,102.9391096
1,19 JUNE 18-2,6/19/18,2,1080,0.07538151,81.4120308,0.3423244,369.710352,0.155976048,168.4541319
1,19 JUNE 18-3,6/19/18,3,300,0.09225683,27.677049,0.06839308,20.517924,0.470266424,141.0799271
1,19 JUNE 18-4,6/19/18,4,1150,0.02535824,29.161976,BDL,BDL,BDL,BDL
1,19 JUNE 18-5,6/19/18,5,1150,BDL,BDL,0.04761739,54.7599985,BDL,BDL
1,19 JUNE 18-6,6/19/18,6,1575,0.13323975,209.8526063,4.0434751,6368.473283,1.337884925,2107.168757
2,4 JULY 18-1,7/4/18,1,8340,BDL,BDL,0.044444653,370.66841,0.29616,2469.9744
2,4 JULY 18-2,7/4/18,2,2080,0.06560976,136.4683008,0.192247127,399.8740241,0.26846625,558.4098
2,4 JULY 18-3,7/4/18,3,510,0.04576274,23.3389974,0.045261242,23.08323328,BDL,BDL
2,4 JULY 18-4,7/4/18,4,2430,0.01494763,36.3227409,0.010964535,26.64382049,0.06907125,167.8431375
2,4 JULY 18-5,7/4/18,5,1860,BDL,BDL,0.0134143,24.95059788,BDL,BDL
2,4 JULY 18-6,7/4/18,6,3950,0.01442534,56.980093,0.127736655,504.5597877,BDL,BDL
2,17 JULY 18-1,7/17/18,1,4360,BDL,BDL,0.096706302,421.6394748,1.3031575,5681.7667
2,17 JULY 18-2,7/17/18,2,2080,0.06978808,145.1592064,0.062409595,129.8119576,0.04005875,83.3222
2,17 JULY 18-3,7/17/18,3,1120,BDL,BDL,0.183264656,205.2564149,BDL,BDL
2,17 JULY 18-4,7/17/18,4,3300,BDL,BDL,0.015864065,52.35141347,BDL,#VALUE!
2,17 JULY 18-5,7/17/18,5,1240,0.07866701,97.5470924,0.0134143,16.63373192,BDL,#VALUE!
