Date,Collector #,Volume (mL),NPOC measured (mg C/L),NPOC final (mg),TDN measured (mg N/L),TDN final (mg),Comments
10-Aug-23,1,"3,650",3.54,12.921,0.6983,2.548795,
10-Aug-23,2,"4,800",6.515,31.272,0.8562,4.10976,
10-Aug-23,3,"1,255",3.497,4.388735,0.3304,0.414652,
10-Aug-23,4,N/A,N/A,N/A,N/A,N/A,"Reconstruct collector, fix PVC holding bucket"
10-Aug-23,5,840,7.613,6.39492,1.087,0.91308,Reseal upper part of collector / level
10-Aug-23,6,"4,250",1.893,8.04525,0.1537,0.653225,Level
10-Aug-23,7,"2,680",7.39,19.8052,0.6874,1.842232,"Add PVC, level"
10-Aug-23,8,710,14.78,10.4938,6.379,4.52909,Level and add PVC
10-Aug-23,9,"1,160",4.972,5.76752,0.6091,0.706556,"Add PVC, level"
10-Aug-23,10,"2,245",4.451,9.992495,0.3185,0.7150325,Level
12-Oct-23,1,"2,920",13.82,40.3544,0.6524,1.905008,
12-Oct-23,2,"2,780",12.23,33.9994,0.5051,1.404178,
12-Oct-23,3,"1,880",28.16,52.9408,0.4545,0.85446,
12-Oct-23,4,"8,120",6.523,52.96676,0.1288,1.045856,
12-Oct-23,5,920,14.69,13.5148,0.4989,0.458988,
12-Oct-23,6,"4,440",11.22,49.8168,0.2028,0.900432,
12-Oct-23,7,"3,980",13.01,51.7798,1.048,4.17104,
12-Oct-23,8,~500,69.9,#VALUE!,0.5047,#VALUE!,
12-Oct-23,9,"1,900",18.43,35.017,0.2133,0.40527,
12-Oct-23,10,"1,200",29.22,35.064,0.3929,0.47148,
26-Oct-23,1,"3,540",6.153,21.78162,0.3986,1.411044,
26-Oct-23,2,"3,880",5.953,23.09764,0.6104,2.368352,
26-Oct-23,3,"2,210",11.72,25.9012,0.8017,1.771757,
26-Oct-23,4,"6,480",5.404,35.01792,0.3388,2.195424,"Funnel was found overflowing, water hadn't drained "
26-Oct-23,5,"1,120",8.874,9.93888,0.3269,0.366128,Standing water in funnel
