"","treatment","depthbin.cm.","hurricane","diam2","prod2.g.m2.day.x","mort.g.m2.day.x","stock.g.m2.x","stock.newRMLg.m2.x","prod2.newRMLg.m2.day.x","mort.newRMLg.m2.day.x","prod2.g.m2.day.y","mort.g.m2.day.y","stock.g.m2.y","prod2.newRMLg.m2.day.y","mort.newRMLg.m2.day.y","stock.newRMLg.m2.y","depthbin.cm.2"
"1","Control","0-10","after","all",15.2972552072539,4.97881793275526,1605.22157942524,759.973817144585,9.74194150845732,2.08557725685005,3.71469327465698,0.843275787193133,166.060572448784,1.40840335768592,0.360466919675841,90.5905529998215,5
"2","Control","0-10","after","Coarse",3.82775780681562,0,447.230398413491,264.480970745181,1.0939990511713,0,3.18839574080748,0,123.4492143359,0.940412487539788,0,73.439690461873,5
"3","Control","0-10","after","Fine",1.19233972268126,0.11469969323129,65.3870763771774,33.5566341771306,0.497944180920901,0.0581960973860351,0.478095966946401,0.0796078548146352,15.1946161661526,0.197980921439232,0.0407667678584163,7.73604238865698,5
"4","Control","0-10","after","Finer",10.277157677757,4.86411823952397,1092.60410463458,461.936212222273,8.14999827636513,2.02738115946402,1.2190701085867,0.841908420036116,92.2572821622737,0.939950489154055,0.359320046453885,39.1602888295111,5
"5","Control","0-10","before","all",5.01881137110019,4.46940773008689,591.642725550474,393.347161914434,3.04712367975221,2.15426342805352,0.966431523095575,1.29811138337023,62.1089690309479,0.502450620993415,0.647652764922107,41.2953313878635,5
"6","Control","0-10","before","Coarse",0.553411644979268,0.408560528860858,12.6727485482454,4.0589092055962,0.177088640916451,0.234230392330041,0.388477423190787,0.408560528860859,7.4342178586058,0.12428376793453,0.234230392330042,2.37684583023547,5
"7","Control","0-10","before","Fine",1.4273495744198,1.54580527490449,110.451539947695,47.6790098637297,0.574871841170185,0.814761141136585,0.504300074846254,0.66033191480675,20.1558665746872,0.200524426851376,0.35127102542823,8.30565406973942,5
"8","Control","0-10","before","Finer",3.03805015170113,2.51504192632154,468.518437054533,341.609242845108,2.29516319766557,1.10527189458689,0.526099189779489,0.792755490978126,52.7682943544347,0.376554805897233,0.350396843678288,38.072146258764,5
"9","Control","10-20","after","all",4.37977841397365,1.11744590266919,794.511136731814,405.830430096181,2.84171523209675,0.5798005288234,1.7487557805529,0.677144883686134,116.307219631369,0.674467934785043,0.407337126176873,61.7983668574047,15
"10","Control","10-20","after","Coarse",1.47823668162735,0.669033751016149,422.121234347824,248.737177534283,0.436304658528257,0.406001753963848,1.47823668162735,0.669033751016151,78.0993541828921,0.436304658528256,0.406001753963849,46.057787743377,15
"11","Control","10-20","after","Fine",0.102736729915653,0,21.5747132822872,11.3445962930099,0.0416979328035817,0,0.102736729915653,0,5.35253600876351,0.0416979328035817,0,2.8145152785448,15
"12","Control","10-20","after","Finer",2.79880500243065,0.448412151653043,350.815189101703,145.748656268887,2.36371264076491,0.173798774859552,0.521423628417594,0.131537345112898,46.7287973258958,0.412785971415114,0.0508669068578542,19.384530436342,15
"13","Control","10-20","before","all",0.0765601985795475,0.255996431727076,322.037470286889,106.910171670423,0.0555373007467115,0.122655296204411,0.0387217380019777,0.17831759793297,80.3737902908158,0.0300171204814648,0.0918482375378561,26.5988345569788,15
"14","Control","10-20","before","Coarse",0,0,252.188618919472,70.647104856017,0,0,0,0,63.047154729868,0,0,17.6617762140043,15
"15","Control","10-20","before","Fine",0.0152301193870226,0.174815337562628,38.9514299706477,16.4657933251047,0.00498982389310047,0.0908971666002993,0.0152301193870226,0.174815337562628,10.2532987063012,0.00498982389310048,0.0908971666002993,4.33712291909318,15
"16","Control","10-20","before","Finer",0.0613300791925249,0.0811810941644486,30.8974213967694,19.7972734893011,0.050547476853611,0.0317581296041115,0.0360084152765645,0.0409909029215746,7.58765159077825,0.0297323249764713,0.0162485066320254,4.84815913846676,15
"17","Control","100-110","after","all",0.00535049550320434,0,1183.52792495496,705.728263422713,0.00636777581212895,0,0.00535049550320434,0,194.570836116096,0.00636777581212895,0,116.021021312053,NA
"18","Control","100-110","after","Coarse",0,0,1181.89067333098,705.13973012692,0,0,0,0,194.301629801259,0,0,115.924257541639,NA
"19","Control","100-110","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"20","Control","100-110","after","Finer",0.00535049550320434,0,1.63725162398053,0.588533295792692,0.00636777581212895,0,0.00535049550320434,0,0.299157403057449,0.00636777581212895,0,0.107536367534107,NA
"21","Control","100-110","before","all",0,0,1181.89067333098,335.600064153312,0,0,0,0,236.378134666195,0,0,67.1200128306623,NA
"22","Control","100-110","before","Coarse",0,0,1181.89067333098,335.600064153312,0,0,0,0,236.378134666195,0,0,67.1200128306623,NA
"23","Control","100-110","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"24","Control","100-110","before","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
"25","Control","110-120","after","all",0.0758732592550745,0,5.84192398154496,2.51154858829308,0.0535604688783483,0,0.0529205333419465,0,2.27179907981368,0.0381340660583817,0,0.97992125490829,NA
"26","Control","110-120","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"27","Control","110-120","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"28","Control","110-120","after","Finer",0.0758732592550745,0,5.84192398154496,2.51154858829308,0.0535604688783483,0,0.0529205333419465,0,2.27179907981368,0.0381340660583817,0,0.97992125490829,NA
"29","Control","110-120","before","all",0,0,0,0,0,0,0,0,0,0,0,0,NA
"30","Control","110-120","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"31","Control","110-120","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"32","Control","110-120","before","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
"33","Control","20-30","after","all",0.881704329146571,0.0587825313955854,138.671033711296,55.4372473546176,0.810120233793462,0.0228264324181978,0.3638995023536,0.0362367245855444,28.9266003142812,0.298414328071938,0.0144456265421282,11.6919376516152,25
"34","Control","20-30","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,25
"35","Control","20-30","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,25
"36","Control","20-30","after","Finer",0.881704329146571,0.0587825313955854,138.671033711296,55.4372473546176,0.810120233793462,0.0228264324181978,0.3638995023536,0.0362367245855444,28.9266003142812,0.298414328071938,0.0144456265421282,11.6919376516152,25
"37","Control","20-30","before","all",0.00615074866972061,0.00192278578397426,9.84114830852998,9.02032340445527,0.00537615994163266,0.000766906992731901,0.00418900307845119,0.00192278578397426,1.50012025123672,0.0032049992235593,0.000766906992731902,1.51620646658352,25
"38","Control","20-30","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,25
"39","Control","20-30","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,25
"40","Control","20-30","before","Finer",0.00615074866972061,0.00192278578397426,9.84114830852998,9.02032340445527,0.00537615994163266,0.000766906992731901,0.00418900307845119,0.00192278578397426,1.50012025123672,0.0032049992235593,0.000766906992731902,1.51620646658352,25
"41","Control","30-40","after","all",0.877799295814746,0.00053114595670793,175.188353888422,69.2104744578167,0.880930557052903,0.000170626833257862,0.372622058533278,0.00053114595670793,39.4440135936747,0.351761456874697,0.000170626833257862,15.5315656815061,35
"42","Control","30-40","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,35
"43","Control","30-40","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,35
"44","Control","30-40","after","Finer",0.877799295814746,0.00053114595670793,175.188353888422,69.2104744578167,0.880930557052903,0.000170626833257862,0.372622058533278,0.00053114595670793,39.4440135936747,0.351761456874697,0.000170626833257862,15.5315656815061,35
"45","Control","30-40","before","all",0.191213284263306,0,28.0165052943886,18.7530890098613,0.127382711521927,0,0.178991182468342,0,5.3893891640239,0.119240576036217,0,3.59240774797933,35
"46","Control","30-40","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,35
"47","Control","30-40","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,35
"48","Control","30-40","before","Finer",0.191213284263306,0,28.0165052943886,18.7530890098613,0.127382711521927,0,0.178991182468342,0,5.3893891640239,0.119240576036217,0,3.59240774797933,35
"49","Control","40-50","after","all",0.745989572669811,0.00666671941940954,127.912274466624,50.0486058385803,0.71798279580687,0.0025252475756867,0.318988346033266,0.00666671941940954,27.7388251375143,0.291886009544855,0.0025252475756867,10.8563577908748,45
"50","Control","40-50","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,45
"51","Control","40-50","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,45
"52","Control","40-50","after","Finer",0.745989572669811,0.00666671941940954,127.912274466624,50.0486058385803,0.71798279580687,0.0025252475756867,0.318988346033266,0.00666671941940954,27.7388251375143,0.291886009544855,0.0025252475756867,10.8563577908748,45
"53","Control","40-50","before","all",0,0,0.856874712241309,0.918361880697704,0,0,0,0,0.253784387088142,0,0,0.271995314704007,45
"54","Control","40-50","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,45
"55","Control","40-50","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,45
"56","Control","40-50","before","Finer",0,0,0.856874712241309,0.918361880697704,0,0,0,0,0.253784387088142,0,0,0.271995314704007,45
"57","Control","50-60","after","all",0.825240628994612,0.0118420166895827,119.072449210592,48.8783051150204,0.705102210171249,0.00428132101762155,0.461605220268087,0.0118420166895827,30.3659154552397,0.365774995398481,0.00428132101762155,12.4608354565471,55
"58","Control","50-60","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,55
"59","Control","50-60","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,55
"60","Control","50-60","after","Finer",0.825240628994612,0.0118420166895827,119.072449210592,48.8783051150204,0.705102210171249,0.00428132101762155,0.461605220268087,0.0118420166895827,30.3659154552397,0.365774995398481,0.00428132101762155,12.4608354565471,55
"61","Control","50-60","before","all",0,0,0,0,0,0,0,0,0,0,0,0,55
"62","Control","50-60","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,55
"63","Control","50-60","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,55
"64","Control","50-60","before","Finer",0,0,0,0,0,0,0,0,0,0,0,0,55
"65","Control","60-70","after","all",0.00350053306025933,0,0.314824473216335,0.100294298403857,0.00573490659972486,0,0.00235091519953196,0,0.104946749566707,0.00362045455631678,0,0.0338367496501637,65
"66","Control","60-70","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,65
"67","Control","60-70","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,65
"68","Control","60-70","after","Finer",0.00350053306025933,0,0.314824473216335,0.100294298403857,0.00573490659972486,0,0.00235091519953196,0,0.104946749566707,0.00362045455631678,0,0.0338367496501637,65
"69","Control","60-70","before","all",0,0,0,0,0,0,0,0,0,0,0,0,65
"70","Control","60-70","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,65
"71","Control","60-70","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,65
"72","Control","60-70","before","Finer",0,0,0,0,0,0,0,0,0,0,0,0,65
"73","Control","70-80","after","all",0.0584856211951705,0.00525268415964555,313.865860759862,165.414799784605,0.0235856803860506,0.00188815175074826,0.0584856211951705,0.00525268415964556,51.5992296586456,0.0235856803860506,0.00188815175074826,27.1940255699076,95
"74","Control","70-80","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,95
"75","Control","70-80","after","Fine",0.0584856211951705,0,313.865860759862,165.414799784605,0.0235856803860506,0,0.0584856211951705,0,51.5992296586456,0.0235856803860506,0,27.1940255699076,95
"76","Control","70-80","after","Finer",0,0.00525268415964555,0,0,0,0.00188815175074826,0,0.00525268415964556,0,0,0.00188815175074826,0,95
"77","Control","70-80","before","all",-0.0016793422812772,0.065281792287818,273.161296410741,114.717309581883,0,0.0240294065741987,0.0016793422812772,0.0535891632688682,54.6401517165104,0,0.0197582155347121,22.9667745376158,95
"78","Control","70-80","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,95
"79","Control","70-80","before","Fine",0,0,267.194335046116,107.752299771784,0,0,0,0,53.4388670092232,0,0,21.5504599543569,95
"80","Control","70-80","before","Finer",-0.0016793422812772,0.065281792287818,5.96696136462467,6.96500981009896,0,0.0240294065741987,0.0016793422812772,0.0535891632688682,1.5121542409729,0,0.0197582155347121,1.7351491058814,95
"81","Control","80-90","after","all",0,0,0,0,0,0,0,0,0,0,0,0,NA
"82","Control","80-90","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"83","Control","80-90","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"84","Control","80-90","after","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
"85","Control","80-90","before","all",0.000411425324063177,0.0160653937614697,0.449831025321151,0.551463878086136,0.000481752353797254,0.00571677838990031,0.000411425324063177,0.0160653937614697,0.311652076270815,0.000481752353797254,0.00571677838990031,0.382065382153663,NA
"86","Control","80-90","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"87","Control","80-90","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"88","Control","80-90","before","Finer",0.000411425324063177,0.0160653937614697,0.449831025321151,0.551463878086136,0.000481752353797254,0.00571677838990031,0.000411425324063177,0.0160653937614697,0.311652076270815,0.000481752353797254,0.00571677838990031,0.382065382153663,NA
"89","Control","90-100","after","all",0.0178901803777533,0.0106555528589135,13.6296757879313,6.07325611350982,0.0115979671627138,0.00431931384030761,0.0124854270180998,0.0106555528589135,2.30131883077978,0.00809413709145433,0.00431931384030761,1.02544615702043,NA
"90","Control","90-100","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"91","Control","90-100","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"92","Control","90-100","after","Finer",0.0178901803777533,0.0106555528589135,13.6296757879313,6.07325611350982,0.0115979671627138,0.00431931384030761,0.0124854270180998,0.0106555528589135,2.30131883077978,0.00809413709145433,0.00431931384030761,1.02544615702043,NA
"93","Control","90-100","before","all",0.0619752036655281,0,17.8523811512594,13.2670515124961,0.0400303153921221,0,0.0500520123129402,0,3.57440486254522,0.0324153929750237,0,2.65555623603535,NA
"94","Control","90-100","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"95","Control","90-100","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"96","Control","90-100","before","Finer",0.0619752036655281,0,17.8523811512594,13.2670515124961,0.0400303153921221,0,0.0500520123129402,0,3.57440486254522,0.0324153929750237,0,2.65555623603535,NA
"97","Warming","0-10","after","all",8.01894552797388,3.01680870641418,1529.47931792166,766.200467233797,5.56863654383703,1.3131889739653,1.350793212448,0.494611320886272,129.183634916754,0.591524460585776,0.233872923513843,72.4924494239209,5
"98","Warming","0-10","after","Coarse",1.64432230846135,0,508.034912458988,301.500514082285,0.466734358323342,0,1.06526701334368,0,108.462585016333,0.313375284226461,0,64.3468729923232,5
"99","Warming","0-10","after","Fine",0.702548105925778,0.471150447750264,377.233356453569,196.894396490503,0.311852123177744,0.242643294044034,0.29714253808728,0.299221976630153,35.5718300851673,0.131822905905863,0.154333890317868,18.6897981160118,5
"100","Warming","0-10","after","Finer",5.67207511358675,2.54565825866392,644.211049009107,267.805556661009,4.79005006233594,1.07054567992126,0.563620034858088,0.400133683574593,34.3869417849804,0.451435252386684,0.178939527113247,14.3801337934333,5
"101","Warming","0-10","before","all",4.85642091999979,4.00025596517942,882.096871548568,466.049893774422,2.82643211485062,1.96632444000073,1.08183574568784,1.4096990833771,76.3799708440116,0.50219147488931,0.763975185338787,36.2611687896394,5
"102","Warming","0-10","before","Coarse",0,0.736753510804618,159.138758333797,53.2544419253385,0,0.414761387974567,0,0.736753510804619,41.8054872889327,0,0.414761387974568,13.9898533726094,5
"103","Warming","0-10","before","Fine",1.96614949452193,1.3408836820815,362.683621879554,147.952939352921,0.779721315500588,0.724574114412546,0.97957680923556,1.00471832138224,66.9002972002467,0.383061572830858,0.551089000459209,26.5152099381637,5
"104","Warming","0-10","before","Finer",2.89027142547785,1.92261877229331,360.274491335216,264.842512496162,2.04671079935003,0.826988937613618,0.55399349309104,0.378875578066319,35.3023742107548,0.364822518987781,0.170347193402248,25.9273337318124,5
"105","Warming","10-20","after","all",2.30749267530282,0.396424032233719,404.680719248783,184.844450980859,1.67893238372228,0.162188852775812,0.535744926447645,0.111781653933854,48.7234070614591,0.328789929744952,0.0482948750317521,24.4190203888182,15
"106","Warming","10-20","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,15
"107","Warming","10-20","after","Fine",0.565624129291766,0,174.632243915519,90.3527532466215,0.231498171515164,0,0.341638247132467,0,40.5140039692066,0.141561961078397,0,20.9450304838039,15
"108","Warming","10-20","after","Finer",1.74186854601106,0.396424032233719,230.048475333264,94.4916977342379,1.44743421220712,0.162188852775812,0.335735576910983,0.111781653933854,17.7067632131637,0.277837654356053,0.0482948750317521,7.39857891595249,15
"109","Warming","10-20","before","all",0.442201257839517,0.0392667693602042,81.2003872603947,60.2575207631623,0.234986798583543,0.015517847897217,0.353081224989251,0.0286234384271079,12.0215859340603,0.149047864739612,0.0114790576946591,8.42041984925049,15
"110","Warming","10-20","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,15
"111","Warming","10-20","before","Fine",0.353191963670219,0,24.7234374569153,10.3347842577715,0.147639775111021,0,0.353191963670219,0,10.7055624532822,0.147639775111021,0,4.47509285493083,15
"112","Warming","10-20","before","Finer",0.0890092941692983,0.0392667693602042,56.4769498034794,49.9227365053908,0.0873470234725219,0.015517847897217,0.0300700177868696,0.0286234384271079,8.57577818252435,0.0286489005774267,0.0114790576946591,8.18536264357288,15
"113","Warming","20-30","after","all",0.698335321572124,0.185986373749872,74.4196200509663,31.8266645739977,0.519468301985209,0.0827508970197442,0.297086008310317,0.106266401112331,13.5654467154527,0.212681554714252,0.0477147670847006,5.68717852373836,25
"114","Warming","20-30","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,25
"115","Warming","20-30","after","Fine",0.0724271858131274,0.0645551792445095,9.46462884472444,4.76368836821379,0.0332690530848491,0.0324915811829681,0.0526786793232214,0.0645551792445095,2.80352126388349,0.0241976788020714,0.0324915811829681,1.41105392022276,25
"116","Warming","20-30","after","Finer",0.625908135758996,0.121431194505363,64.9549912062418,27.0629762057839,0.48619924890036,0.0502593158367761,0.294023094314432,0.0853929993538942,13.7309501286769,0.212113350030062,0.0354364350600821,5.74052344847808,25
"117","Warming","20-30","before","all",0.0356830409308201,0.0377360693713447,2.28353419786977,2.14775690729989,0.0333410862761935,0.0155351107090672,0.0189902209810719,0.0250723751759337,0.687329382078612,0.016786927072117,0.0106071060892316,0.606681969201332,25
"118","Warming","20-30","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,25
"119","Warming","20-30","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,25
"120","Warming","20-30","before","Finer",0.0356830409308201,0.0377360693713447,2.28353419786977,2.14775690729989,0.0333410862761935,0.0155351107090672,0.0189902209810719,0.0250723751759337,0.687329382078612,0.016786927072117,0.0106071060892316,0.606681969201332,25
"121","Warming","30-40","after","all",0.439517052758626,0.0165049441347502,29.0790065382481,13.077230691836,0.276701970610981,0.00642202330478396,0.258937367782591,0.013832490685997,9.59691819666513,0.165938043597961,0.00538477785696179,4.33291301229886,35
"122","Warming","30-40","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,35
"123","Warming","30-40","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,35
"124","Warming","30-40","after","Finer",0.439517052758626,0.0165049441347502,29.0790065382481,13.077230691836,0.276701970610981,0.00642202330478396,0.258937367782591,0.013832490685997,9.59691819666513,0.165938043597961,0.00538477785696179,4.33291301229886,35
"125","Warming","30-40","before","all",7.75349078444481e-05,0,0.118387575483727,0.190706947121858,0.000202323300305945,0,0.0001351807960726,0,0.0369661152506415,0.000202323300305945,0,0.0595475915238557,35
"126","Warming","30-40","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,35
"127","Warming","30-40","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,35
"128","Warming","30-40","before","Finer",7.75349078444481e-05,0,0.118387575483727,0.190706947121858,0.000202323300305945,0,0.0001351807960726,0,0.0369661152506415,0.000202323300305945,0,0.0595475915238557,35
"129","Warming","40-50","after","all",0.0243040310856794,0,2.62605186235667,1.02168463683782,0.0223489941663225,0,0.0204117070263881,0,0.787150056707023,0.0187931903791491,0,0.309398827513209,45
