date,plot,N,E,S,W,Canopy openness
1-Jun-17,1,0.166666667,0.166666667,0.125,0.083333333,13.54166667
1-Jun-17,2,0.125,0.083333333,0.083333333,0.166666667,11.45833333
1-Jun-17,3,0.083333333,0.041666667,0.125,0.083333333,8.333333333
1-Jun-17,4,0.166666667,0.208333333,0.166666667,0.125,16.66666667
1-Jun-17,5,0.166666667,0.125,0.125,0.041666667,11.45833333
1-Jun-17,6,0.041666667,0.125,0.083333333,0.083333333,8.333333333
1-Jun-15,1,0.208333333,0.25,0.125,0.166666667,18.75
1-Jun-15,2,0.041666667,0.25,0.125,0.166666667,14.58333333
1-Jun-15,3,0.208333333,0.125,0.125,0.125,14.58333333
1-Jun-15,4,0.208333333,0.125,0.125,0.208333333,16.66666667
1-Jun-15,5,0.25,0.083333333,0.083333333,0.166666667,14.58333333
1-Jun-15,6,0.208333333,0.25,0.083333333,0.083333333,15.625
18-Sep-17,1,19,15,19,16,17.9
18-Sep-17,2,31,23,13,20,22.6
18-Sep-17,3,16,15,26,37,24.4
18-Sep-17,4,22,18,29,22,23.7
18-Sep-17,5,19,62,45,67,50.2
18-Sep-17,6,21,12,37,39,28.3
18-Oct-17,1,53,35,60,82,59.8
18-Oct-17,2,52,69,80,57,67.1
18-Oct-17,3,59,89,41,57,64
18-Oct-17,4,34,76,84,79,71
18-Oct-17,5,82,85,60,72,77.7
18-Oct-17,6,21,63,71,57,55.1
30-Jan-18,1,51,48,33,48,46.8
30-Jan-18,2,68,50,49,75,62.9
30-Jan-18,3,70,54,51,72,64.2
30-Jan-18,4,83,75,29,69,66.6
30-Jan-18,5,42,50,61,61,55.6
30-Jan-18,6,61,48,16,44,43.9
21-May-18,1,42,52,45,30,43.9
21-May-18,2,69,38,33,55,50.7
21-May-18,3,22,57,41,34,40
21-May-18,4,78,69,16,38,52.3
21-May-18,5,59,50,66,58,60.6
21-May-18,6,31,55,44,9,36.1
7-Sep-18,1,24,40,17,19,26
7-Sep-18,2,24,38,10,18,23.4
7-Sep-18,3,40,38,14,44,35.4
7-Sep-18,4,68,31,7,10,30.2
7-Sep-18,5,37,24,25,29,29.9
7-Sep-18,6,36,36,2,22,25
