"","HURRICANE","Plot","treatment","temperature","moisture","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","Total.C","Total.N","C.N","NH4","NO3","IN","PO4","Ext.C","Ext.N","ubial.C","ubial.N","ubial.P","nit.am.ratio"
"1","AFTER",1,"Control",24.8766406734726,0.395536530631291,50.88339992337,7.28389011535307,4.827333333,0.4648,10.34723333,5.651074984,3.636701176,9.28777616,1.638972994,411.2809078,51.42915491,387.8697849,102.1914249,24.97348651,0.643541483044671
"2","AFTER",2,"Warming",25.2091339025879,0.432812821660731,16.2177335767291,3.91942166162078,5.449166667,0.454766667,11.8503,3.513233815,3.619941422,6.060007313,3.732008366,470.5202705,52.806786,435.3584668,115.3495923,45.59891997,1.03037304449946
"3","AFTER",3,"Control",24.7743235455128,0.434171077111545,48.3063705117533,8.15333034110186,4.7961,0.424833333,11.2783,4.356438892,3.163239834,7.519678726,4.278643364,397.4595134,49.2755695,388.6053188,94.47296395,31.27650082,0.726106784100393
"4","AFTER",4,"Warming",25.1808016045347,0.391401781762408,38.2300078861248,1.70187076477689,6.634533333,0.525433333,12.249,4.835292947,2.818600902,7.653893849,2.433476443,562.433835,60.17180429,465.4025615,124.0308461,36.3959935,0.582922468792458
"5","AFTER",5,"Control",25.1155013895062,0.426134965540994,122.06185337212,28.2409052395898,6.996966667,0.607366667,11.52693333,8.10918154,3.165987025,11.27516856,3.808200099,436.0778108,51.09582853,552.0530472,135.8879654,57.32065227,0.390420045399551
"6","AFTER",6,"Warming",25.1884989597578,0.416843016832146,56.7842757815688,7.95872795386388,5.561766667,0.524333333,10.56006667,6.326890683,2.9996583,9.326548983,3.783104585,346.4174783,42.19357474,592.5042302,143.7887957,35.40050835,0.474112553905809
"7","BEFORE",1,"Control",24.000696941505,0.391312609172913,1.31282732432033,0.68893130120646,3.647133333,0.3788,9.6215,1.670099374,0.476337561,2.146436935,0.5121237,264.6208744,25.36612362,245.5423094,62.5428755,3.422730991,0.285215100619516
"8","BEFORE",2,"Warming",26.9394948149986,0.382162552667549,0.482031327007462,0.236116063736262,3.329333333,0.331333333,10.03913333,0.796237614,2.116888682,2.913126295,0.91364151,230.4557947,24.4219664,462.8270642,78.65966301,3.02232795,2.6586142688808
"9","BEFORE",3,"Control",24.0120576748971,0.410058086886391,3.92612674750196,1.8750918949403,3.297866667,0.322233333,10.23323333,1.844390227,1.717064243,3.56145447,0.240799267,271.7558499,29.63306431,229.6093699,56.25346478,3.125153469,0.930965810740007
"10","BEFORE",4,"Warming",26.414470248567,0.342934709623016,5.32926164917573,1.89591109704765,5.0939,0.438266667,11.61776667,1.291725005,1.185605306,2.477330312,0.292957994,403.0440242,36.96597864,388.6361996,91.75130566,5.386060084,0.917846524152407
"11","BEFORE",5,"Control",23.9110773688272,0.383882562468218,6.20187686995832,10.9260948221424,4.336666667,0.417166667,10.37776667,2.062026469,1.089593484,3.151619954,0.707923323,317.265598,31.19816488,380.4478468,91.49789292,3.542395349,0.528409067672351
"12","BEFORE",6,"Warming",26.0840237869268,0.370796276241916,12.4875920047357,17.4502492383099,4.832133333,0.424133333,11.20753333,1.656542201,0.706219541,2.362761741,0.602850904,287.3457368,26.93950611,464.459317,108.9529136,5.462833843,0.426321490979028
