Core,type,plot,treatment,Length.cm,Ave. Diam.mm,Volume,dryroots.g,dry.roots.mg,RSL,RML.g.cm,date,Year
7,rsr,1,C,195.012,0.387,0.229,0.092,92,2119.695652,0.000471766,July,2017
7,remain,1,C,194.32,0.293,0.131,0.036,36,5397.777778,0.000185261,July,2017
9,rsr,4,W,629.026,0.3805,0.333,0.213,213,2953.173709,0.000338619,July,2017
9,remain,4,W,289.91,0.329,0.247,0.06,60,4831.833333,0.000206961,July,2017
14,remain,2,W,102.512,0.294,0.07,0.016,16,6407,0.000156079,July,2017
14,rsr,2,W,133.984,0.361,0.137,0.056,56,2392.571429,0.00041796,July,2017
3,remain,3,C,289.129,0.478,0.519,0.128,128,2258.820313,0.000442709,July,2017
3,rsr,3,C,310.753,0.524,0.67,0.216,216,1438.671296,0.000695086,July,2017
2,remain,5,C,409.453,0.327,0.345,0.074,74,5533.148649,0.000180729,July,2017
2,rsr,5,C,202.19,0.375,0.223,0.058,58,3486.034483,0.000286859,July,2017
1,rsr,6,W,439.361,0.33,0.376,0.217,217,2024.705069,0.000493899,July,2017
1,remain,6,W,662.904,0.573,0.305,0.106,106,6253.811321,0.000159902,July,2017
10,rsr,6,W,233.749,0.434,0.345,0.097,97,2409.783505,0.000414975,July,2017
10,remain,6,W,176.121,0.513,0.364,0.172,172,1023.959302,0.000976601,July,2017
12,rsr,3,C,243.628,0.486,0.453,0.133,133,1831.789474,0.000545914,July,2017
12,remain,3,C,301.604,0.398,0.376,0.086,86,3507.023256,0.000285142,July,2017
5,rsr,1,C,264.446,0.456,0.433,0.108,108,2448.574074,0.000408401,July,2017
5,remain,1,C,273.188,0.306,0.201,0.039,39,7004.820513,0.000142759,July,2017
15,remain,4,W,314.791,0.367,0.333,0.091,91,3459.241758,0.000289081,July,2017
15,rsr,4,W,542.256,0.3315,0.196,0.205,205,2645.15122,0.00037805,July,2017
13,remain,5,C,391.531,0.311,0.297,0.058,58,6750.534483,0.000148136,July,2017
13,rsr,5,C,349.853,0.371,0.378,0.102,102,3429.931373,0.000291551,July,2017
6,rsr,2,W,169.42,0.426,0.242,0.098,98,1728.77551,0.000578444,July,2017
6,remain,2,W,158.62,0.35,0.153,0.04,40,3965.5,0.000252175,July,2017
4,remain,4,W,228.713,0.376,0.254,0.064,64,3573.640625,0.000279827,July,2017
4,rsr,4,W,376.613,0.387,0.442,0.156,156,2414.185897,0.000414218,July,2017
17,remain,1,C,262.544,0.365,0.274,0.107,107,2453.682243,0.000407551,July,2017
17,rsr,1,C,173.509,0.386,0.203,0.055,55,3154.709091,0.000316986,July,2017
18,rsr,3,C,302.937,0.481,0.55,0.168,168,1803.196429,0.000554571,July,2017
11,rsr,5,C,470.459,0.4855,0.451,0.28,280,1680.210714,0.000595163,July,2017
11,remain,5,C,409.675,0.401,0.518,0.148,148,2768.074324,0.000361262,July,2017
16,rsr,6,W,70.408,0.276,0.042,0.012,12,5867.333333,0.000170435,July,2017
16,remain,6,W,33.119,0.329,0.028,0.007,7,4731.285714,0.000211359,July,2017
8,remain,2,W,186.308,0.239,0.126,0.036,36,5175.222222,0.000193228,July,2017
8,rsr,2,W,293.854,0.387,0.345,0.136,136,2160.691176,0.000462815,July,2017
21,rsr,1,C,64.753,0.297,0.045,0.013,13,4981,0.043771044,Nov,2017
21,remain,1,C,109.837,0.322,0.089,0.025,25,4393.48,0.077639752,Nov,2017
22,rsr,4,W,174.06,0.355,0.172,0.054,54,3223.333333,0.152112676,Nov,2017
22,remain,4,W,229.678,0.33,0.196,0.063,63,3645.68254,0.190909091,Nov,2017
23,remain,2,W,44.306,0.368,0.047,0.007,7,6329.428571,0.019021739,Nov,2017
23,rsr,2,W,116.039,0.528,0.254,0.032,32,3626.21875,0.060606061,Nov,2017
24,rsr,3,C,149.913,0.588,0.407,0.08,80,1873.9125,0.136054422,Nov,2017
24,remain,3,C,77.07,0.43,0.112,0.03,30,2569,0.069767442,Nov,2017
25,rsr,5,C,93.501,0.389,0.111,0.109,109,857.8073394,0.280205656,Nov,2017
25,remain,5,C,55.737,0.33,0.048,0.012,12,4644.75,0.036363636,Nov,2017
26,rsr,6,W,79.561,0.389,0.1,0.038,38,2093.710526,0.097686375,Nov,2017
26,remain,6,W,58.716,0.325,0.049,0.014,14,4194,0.043076923,Nov,2017
27,rsr,6,W,229.497,0.344,0.214,0.054,54,4249.944444,0.156976744,Nov,2017
27,remain,6,W,238.203,0.29,0.157,0.047,47,5068.148936,0.162068966,Nov,2017
28,rsr,3,C,270.636,0.234,0.117,0.031,31,8730.193548,0.132478632,Nov,2017
28,remain,3,C,336.748,0.253,0.169,0.036,36,9354.111111,0.14229249,Nov,2017
29,rsr,1,C,125.085,0.329,0.106,0.032,32,3908.90625,0.097264438,Nov,2017
29,remain,1,C,140.671,0.284,0.089,0.027,27,5210.037037,0.095070423,Nov,2017
30,rsr,4,W,63.485,0.462,0.106,0.026,26,2441.730769,0.056277056,Nov,2017
30,remain,4,W,59.499,0.321,0.048,0.017,17,3499.941176,0.052959502,Nov,2017
31,rsr,5,C,123.37,0.649,0.408,0.095,95,1298.631579,0.146379045,Nov,2017
31,remain,5,C,95.604,0.356,0.095,0.02,20,4780.2,0.056179775,Nov,2017
32,rsr,2,W,168.088,0.397,0.208,0.087,87,1932.045977,0.219143577,Nov,2017
32,remain,2,W,88.581,0.318,0.07,0.019,19,4662.157895,0.059748428,Nov,2017
33,rsr,4,W,139.793,0.276,0.084,0.02,20,6989.65,0.072463768,Nov,2017
33,remain,4,W,153.912,0.35,0.148,0.049,49,3141.061224,0.14,Nov,2017
34,rsr,1,C,48.791,0.294,0.033,0.008,8,6098.875,0.027210884,Nov,2017
34,remain,1,C,93.02,0.305,0.068,0.018,18,5167.777778,0.059016393,Nov,2017
35,rsr,3,C,258.716,0.286,0.166,0.027,27,9582.074074,0.094405594,Nov,2017
35,remain,3,C,134.139,0.265,0.074,0.014,14,9581.357143,0.052830189,Nov,2017
36,rsr,5,C,142.24,0.222,0.055,0.011,11,12930.90909,0.04954955,Nov,2017
36,remain,5,C,83.529,0.211,0.029,0.005,5,16705.8,0.023696682,Nov,2017
37,remain,6,W,30.737,0.321,0.025,0.008,8,3842.125,0.024922118,Nov,2017
37,rsr,6,W,37.62,0.246,0.018,0.004,4,9405,0.016260163,Nov,2017
38,remain,2,W,34.199,0.378,0.038,0.009,9,3799.888889,0.023809524,Nov,2017
38,rsr,2,W,30.621,0.37,0.033,0.009,9,3402.333333,0.024324324,Nov,2017
34,rsr,3,C,795.059,0.24125,,0.112,,7098.741071,0.00014087,Mar,2018
21,rsr,1,C,711.061,0.31,,0.142,,5007.471831,0.000199702,Mar,2018
33,rsr,2,W,288.176,0.382,,0.069,,4176.463768,0.000239437,Mar,2018
36,rsr,5,C,243.845,0.441,,0.034,,7171.911765,0.000139433,Mar,2018
37,rsr,4,W,340.883,0.268,,0.131,,2602.160305,0.000384296,Mar,2018
32,rsr,6,W,502.678,0.336,,0.152,,3307.092105,0.00030238,Mar,2018
30,rsr,1,C,361.959,0.310333333,,0.263,,1376.269962,0.000726602,Mar,2018
26,rsr,4,W,403.9843333,0.244,,0.19,,2126.233333,0.000470315,Mar,2018
23,rsr,3,C,414.8063333,0.274666667,,0.24,,1728.359722,0.000578583,Mar,2018
35,rsr,6,W,548.744,0.191,,0.079,,6946.126582,0.000143965,Mar,2018
31,rsr,2,W,255.174,0.412,,0.149,,1712.577181,0.000583915,Mar,2018
28,rsr,5,C,183.642,0.202,,0.02,,9182.1,0.000108908,Mar,2018
24,rsr,5,C,510.57,0.315,,0.097,,5263.608247,0.000189984,Mar,2018
38,rsr,1,C,479.299,0.295,,0.089,,5385.382022,0.000185688,Mar,2018
27,rsr,4,W,440.684,0.202,,0.036,,12241.22222,8.16912E-05,Mar,2018
29,rsr,3,C,654.9,0.242,,0.094,,6967.021277,0.000143533,Mar,2018
22,rsr,6,W,511.043,0.27,,0.118,,4330.872881,0.0002309,Mar,2018
25,rsr,2,W,385.976,0.266,,0.063,,6126.603175,0.000163223,Mar,2018
41,rsr,5,C,643.951,0.35,,0.202,,3187.876238,0.000313688,Mar,2018
50,test,0,NA,19.678,2.958,1.352,0.687,,28.643377,0.034912085,,2019
90,test,0,NA,12.836,3.168,1.012,0.299,,42.92976589,0.023293861,,2019
20,test,0,NA,11.23,6.258,3.454,0.713,,15.75035063,0.06349065,,2019
70,test,0,NA,9.135,6.534,3.063,0.427,,21.39344262,0.046743295,,2019
60,test,0,NA,7.403,4.259,1.054,0.464,,15.95474138,0.062677293,,2019
503,test,0,NA,12.16,4.01,1.536,0.275,,44.21818182,0.022615132,,2019
101,test,0,NA,12.923,2.638,0.706,0.255,,50.67843137,0.01973226,,2019
1,test,0,NA,13.674,2.01,0.434,0.065,,210.3692308,0.004753547,,2019
