"","date","depth","treatment","plot","variable2","value"
"1",2017-02-14,"0-10","C",1,"moisture",0.35596752462963
"2",2017-02-27,"0-10","C",1,"moisture",0.365426841773504
"3",2017-03-13,"0-10","C",1,"moisture",0.354211151884921
"4",2017-03-24,"0-10","C",1,"moisture",0.390077199382716
"5",2017-04-13,"0-10","C",1,"moisture",0.380039094166667
"6",2017-05-06,"0-10","C",1,"moisture",0.420211941911765
"7",2017-05-23,"0-10","C",1,"moisture",0.335350734166667
"8",2017-06-09,"0-10","C",1,"moisture",0.403256167986111
"9",2017-06-26,"0-10","C",1,"moisture",0.405846648809524
"10",2017-07-11,"0-10","C",1,"moisture",0.423288349907407
"11",2017-07-24,"0-10","C",1,"moisture",0.409610207799145
"12",2017-08-06,"0-10","C",1,"moisture",0.42875196292735
"13",2017-08-22,"0-10","C",1,"moisture",0.426325410030864
"14",2017-09-21,"0-10","C",1,"moisture",0.446037196130952
"15",2017-10-20,"0-10","C",1,"moisture",0.446739743333333
"16",2017-11-05,"0-10","C",1,"moisture",0.450747540042735
"17",2017-11-22,"0-10","C",1,"moisture",0.44842629979783
"18",2017-12-05,"0-10","C",1,"moisture",0.439297426282051
"19",2017-12-20,"0-10","C",1,"moisture",0.428462783796296
"20",2018-01-03,"0-10","C",1,"moisture",0.446203180654762
"21",2018-01-18,"0-10","C",1,"moisture",0.457830192821504
"22",2018-01-31,"0-10","C",1,"moisture",0.450986155662393
"23",2018-02-15,"0-10","C",1,"moisture",0.451406225648148
"24",2018-02-27,"0-10","C",1,"moisture",0.458057490972222
"25",2018-03-16,"0-10","C",1,"moisture",0.33842751337963
"26",2018-04-04,"0-10","C",1,"moisture",0.314729584817115
"27",2018-04-18,"0-10","C",1,"moisture",0.353216195833333
"28",2018-05-02,"0-10","C",1,"moisture",0.390237736011905
"29",2018-05-16,"0-10","C",1,"moisture",0.377825668452381
"30",2018-05-30,"0-10","C",1,"moisture",0.401973353769841
"31",2018-06-14,"0-10","C",1,"moisture",0.352012073611111
"32",2018-06-27,"0-10","C",1,"moisture",0.371581202430556
"33",2018-07-04,"0-10","C",1,"moisture",0.266962265277778
"34",2018-07-05,"0-10","C",1,"moisture",0.254989811111111
"35",2018-07-06,"0-10","C",1,"moisture",0.246722681944444
"36",2018-07-07,"0-10","C",1,"moisture",0.239690030555556
"37",2018-07-08,"0-10","C",1,"moisture",0.240072679166667
"38",2018-07-09,"0-10","C",1,"moisture",0.380328695833333
"39",2018-07-10,"0-10","C",1,"moisture",0.409128226388889
"40",2018-07-11,"0-10","C",1,"moisture",0.378905776388889
"41",2018-07-12,"0-10","C",1,"moisture",0.3602453625
"42",2018-07-13,"0-10","C",1,"moisture",0.354563269565217
"43",2018-07-14,"0-10","C",1,"moisture",0.3511738375
"44",2018-07-15,"0-10","C",1,"moisture",0.370733319444444
"45",2018-07-16,"0-10","C",1,"moisture",0.409659251388889
"46",2018-07-17,"0-10","C",1,"moisture",0.401325447222222
"47",2018-07-18,"0-10","C",1,"moisture",0.401997676388889
"48",2018-07-19,"0-10","C",1,"moisture",0.410292811111111
"49",2018-07-20,"0-10","C",1,"moisture",0.404713180555556
"50",2018-07-21,"0-10","C",1,"moisture",0.388967816666667
"51",2018-07-22,"0-10","C",1,"moisture",0.374698372222222
"52",2018-07-23,"0-10","C",1,"moisture",0.378009945833333
"53",2018-07-24,"0-10","C",1,"moisture",0.393096977777778
"54",2018-07-25,"0-10","C",1,"moisture",0.392762027777778
"55",2018-07-26,"0-10","C",1,"moisture",0.404576147222222
"56",2018-07-27,"0-10","C",1,"moisture",0.398849755555556
"57",2018-07-28,"0-10","C",1,"moisture",0.379731472222222
"58",2018-07-29,"0-10","C",1,"moisture",0.363902311111111
"59",2018-07-30,"0-10","C",1,"moisture",0.355790736111111
"60",2018-07-31,"0-10","C",1,"moisture",0.350042125
"61",2018-08-01,"0-10","C",1,"moisture",0.346406936111111
"62",2018-08-02,"0-10","C",1,"moisture",0.398966652777778
"63",2018-08-03,"0-10","C",1,"moisture",0.381924069444444
"64",2018-08-04,"0-10","C",1,"moisture",0.369667354166667
"65",2018-08-05,"0-10","C",1,"moisture",0.373242590277778
"66",2018-08-06,"0-10","C",1,"moisture",0.363234948611111
"67",2018-08-07,"0-10","C",1,"moisture",0.346171520833333
"68",2018-08-08,"0-10","C",1,"moisture",0.325970598611111
"69",2018-08-09,"0-10","C",1,"moisture",0.301839115277778
"70",2018-08-10,"0-10","C",1,"moisture",0.278858097222222
"71",2018-08-11,"0-10","C",1,"moisture",0.274369438888889
"72",2018-08-12,"0-10","C",1,"moisture",0.3350493
"73",2018-08-13,"0-10","C",1,"moisture",0.341447211111111
"74",2018-08-14,"0-10","C",1,"moisture",0.338770366666667
"75",2018-08-15,"0-10","C",1,"moisture",0.326727768055556
"76",2018-08-16,"0-10","C",1,"moisture",0.355855544444444
"77",2018-08-17,"0-10","C",1,"moisture",0.397102068055556
"78",2018-08-18,"0-10","C",1,"moisture",0.393606701388889
"79",2018-08-19,"0-10","C",1,"moisture",0.374464805555556
"80",2018-08-20,"0-10","C",1,"moisture",0.350506477777778
"81",2018-08-21,"0-10","C",1,"moisture",0.350998138888889
"82",2018-08-22,"0-10","C",1,"moisture",0.372067119444444
"83",2018-08-23,"0-10","C",1,"moisture",0.406698126388889
"84",2018-08-24,"0-10","C",1,"moisture",0.407889802777778
"85",2018-08-25,"0-10","C",1,"moisture",0.391266888888889
"86",2018-08-26,"0-10","C",1,"moisture",0.381541661111111
"87",2018-08-27,"0-10","C",1,"moisture",0.363777076388889
"88",2018-08-28,"0-10","C",1,"moisture",0.395596747222222
"89",2018-08-29,"0-10","C",1,"moisture",0.419882619444444
