Core,type,plot,treatment,Length.cm,Ave. Diam.mm,Volume,dryroots.g,dry.roots.mg,RSL,RML.g.cm,date,Year,Method
7,rsr,1,C,195.012,0.387,0.229,0.092,92,2119.695652,0.000471766,Jul ,2017,Ingrowth
7,remain,1,C,194.32,0.293,0.131,0.036,36,5397.777778,0.000185261,Jul,2017,Ingrowth
9,rsr,4,W,629.026,0.3805,0.333,0.213,213,2953.173709,0.000338619,Jul,2017,Ingrowth
9,remain,4,W,289.91,0.329,0.247,0.06,60,4831.833333,0.000206961,Jul,2017,Ingrowth
14,remain,2,W,102.512,0.294,0.07,0.016,16,6407,0.000156079,Jul,2017,Ingrowth
14,rsr,2,W,133.984,0.361,0.137,0.056,56,2392.571429,0.00041796,Jul,2017,Ingrowth
3,remain,3,C,289.129,0.478,0.519,0.128,128,2258.820313,0.000442709,Jul,2017,Ingrowth
3,rsr,3,C,310.753,0.524,0.67,0.216,216,1438.671296,0.000695086,Jul,2017,Ingrowth
2,remain,5,C,409.453,0.327,0.345,0.074,74,5533.148649,0.000180729,Jul,2017,Ingrowth
2,rsr,5,C,202.19,0.375,0.223,0.058,58,3486.034483,0.000286859,Jul,2017,Ingrowth
1,rsr,6,W,439.361,0.33,0.376,0.217,217,2024.705069,0.000493899,Jul,2017,Ingrowth
1,remain,6,W,662.904,0.573,0.305,0.106,106,6253.811321,0.000159902,Jul,2017,Ingrowth
10,rsr,6,W,233.749,0.434,0.345,0.097,97,2409.783505,0.000414975,Jul,2017,Ingrowth
10,remain,6,W,176.121,0.513,0.364,0.172,172,1023.959302,0.000976601,Jul,2017,Ingrowth
12,rsr,3,C,243.628,0.486,0.453,0.133,133,1831.789474,0.000545914,Jul,2017,Ingrowth
12,remain,3,C,301.604,0.398,0.376,0.086,86,3507.023256,0.000285142,Jul,2017,Ingrowth
5,rsr,1,C,264.446,0.456,0.433,0.108,108,2448.574074,0.000408401,Jul,2017,Ingrowth
5,remain,1,C,273.188,0.306,0.201,0.039,39,7004.820513,0.000142759,Jul,2017,Ingrowth
15,remain,4,W,314.791,0.367,0.333,0.091,91,3459.241758,0.000289081,Jul,2017,Ingrowth
15,rsr,4,W,542.256,0.3315,0.196,0.205,205,2645.15122,0.00037805,Jul,2017,Ingrowth
13,remain,5,C,391.531,0.311,0.297,0.058,58,6750.534483,0.000148136,Jul,2017,Ingrowth
13,rsr,5,C,349.853,0.371,0.378,0.102,102,3429.931373,0.000291551,Jul,2017,Ingrowth
6,rsr,2,W,169.42,0.426,0.242,0.098,98,1728.77551,0.000578444,Jul,2017,Ingrowth
6,remain,2,W,158.62,0.35,0.153,0.04,40,3965.5,0.000252175,Jul,2017,Ingrowth
4,remain,4,W,228.713,0.376,0.254,0.064,64,3573.640625,0.000279827,Jul,2017,Ingrowth
4,rsr,4,W,376.613,0.387,0.442,0.156,156,2414.185897,0.000414218,Jul,2017,Ingrowth
17,remain,1,C,262.544,0.365,0.274,0.107,107,2453.682243,0.000407551,Jul,2017,Ingrowth
17,rsr,1,C,173.509,0.386,0.203,0.055,55,3154.709091,0.000316986,Jul,2017,Ingrowth
18,rsr,3,C,302.937,0.481,0.55,0.168,168,1803.196429,0.000554571,Jul,2017,Ingrowth
11,rsr,5,C,470.459,0.4855,0.451,0.28,280,1680.210714,0.000595163,Jul,2017,Ingrowth
11,remain,5,C,409.675,0.401,0.518,0.148,148,2768.074324,0.000361262,Jul,2017,Ingrowth
16,rsr,6,W,70.408,0.276,0.042,0.012,12,5867.333333,0.000170435,Jul,2017,Ingrowth
16,remain,6,W,33.119,0.329,0.028,0.007,7,4731.285714,0.000211359,Jul,2017,Ingrowth
8,remain,2,W,186.308,0.239,0.126,0.036,36,5175.222222,0.000193228,Jul,2017,Ingrowth
8,rsr,2,W,293.854,0.387,0.345,0.136,136,2160.691176,0.000462815,Jul,2017,Ingrowth
21,rsr,1,C,64.753,0.297,0.045,0.013,13,4981,0.043771044,Nov,2017,Ingrowth
21,remain,1,C,109.837,0.322,0.089,0.025,25,4393.48,0.077639752,Nov,2017,Ingrowth
22,rsr,4,W,174.06,0.355,0.172,0.054,54,3223.333333,0.152112676,Nov,2017,Ingrowth
22,remain,4,W,229.678,0.33,0.196,0.063,63,3645.68254,0.190909091,Nov,2017,Ingrowth
23,remain,2,W,44.306,0.368,0.047,0.007,7,6329.428571,0.019021739,Nov,2017,Ingrowth
23,rsr,2,W,116.039,0.528,0.254,0.032,32,3626.21875,0.060606061,Nov,2017,Ingrowth
24,rsr,3,C,149.913,0.588,0.407,0.08,80,1873.9125,0.136054422,Nov,2017,Ingrowth
24,remain,3,C,77.07,0.43,0.112,0.03,30,2569,0.069767442,Nov,2017,Ingrowth
25,rsr,5,C,93.501,0.389,0.111,0.109,109,857.8073394,0.280205656,Nov,2017,Ingrowth
25,remain,5,C,55.737,0.33,0.048,0.012,12,4644.75,0.036363636,Nov,2017,Ingrowth
26,rsr,6,W,79.561,0.389,0.1,0.038,38,2093.710526,0.097686375,Nov,2017,Ingrowth
26,remain,6,W,58.716,0.325,0.049,0.014,14,4194,0.043076923,Nov,2017,Ingrowth
27,rsr,6,W,229.497,0.344,0.214,0.054,54,4249.944444,0.156976744,Nov,2017,Ingrowth
27,remain,6,W,238.203,0.29,0.157,0.047,47,5068.148936,0.162068966,Nov,2017,Ingrowth
28,rsr,3,C,270.636,0.234,0.117,0.031,31,8730.193548,0.132478632,Nov,2017,Ingrowth
28,remain,3,C,336.748,0.253,0.169,0.036,36,9354.111111,0.14229249,Nov,2017,Ingrowth
29,rsr,1,C,125.085,0.329,0.106,0.032,32,3908.90625,0.097264438,Nov,2017,Ingrowth
29,remain,1,C,140.671,0.284,0.089,0.027,27,5210.037037,0.095070423,Nov,2017,Ingrowth
30,rsr,4,W,63.485,0.462,0.106,0.026,26,2441.730769,0.056277056,Nov,2017,Ingrowth
30,remain,4,W,59.499,0.321,0.048,0.017,17,3499.941176,0.052959502,Nov,2017,Ingrowth
31,rsr,5,C,123.37,0.649,0.408,0.095,95,1298.631579,0.146379045,Nov,2017,Ingrowth
31,remain,5,C,95.604,0.356,0.095,0.02,20,4780.2,0.056179775,Nov,2017,Ingrowth
32,rsr,2,W,168.088,0.397,0.208,0.087,87,1932.045977,0.219143577,Nov,2017,Ingrowth
32,remain,2,W,88.581,0.318,0.07,0.019,19,4662.157895,0.059748428,Nov,2017,Ingrowth
33,rsr,4,W,139.793,0.276,0.084,0.02,20,6989.65,0.072463768,Nov,2017,Ingrowth
