,PLOT,year,total_leaf_area
1,1,2016,35339.95256
2,1,2017,46600.78414
3,1,2018,40396.71559
4,1,2019,51476.85076
5,2,2016,20208.229
6,2,2017,30817.05803
7,2,2018,60816.48433
8,2,2019,43738.66448
9,3,2016,36505.932
10,3,2017,59933.07206
11,3,2018,110620.1547
12,3,2019,61645.08958
13,4,2016,28993.93447
14,4,2017,49292.13567
15,4,2018,42689.3066
16,4,2019,38201.64644
17,5,2016,51919.06544
18,5,2017,91619.22432
19,5,2018,118278.53
20,5,2019,100611.3396
21,6,2016,16707.67596
22,6,2017,13252.11476
23,6,2018,49792.2989
24,6,2019,75883.52326
