Tube,Window,RootID,Appeared (session number),Died (session number),Appeared,Died,Lifespan,Maximum Length,Maximum Diameter,Length date(1),Diameter date(1),Color date(1),Condition Code date(1),Length date(2),Diameter date(2),Color date(2),Condition Code date(2),Length date(3),Diameter date(3),Color date(3),Condition Code date(3),Length date(4),Diameter date(4),Color date(4),Condition Code date(4),Length date(5),Diameter date(5),Color date(5),Condition Code date(5),Length date(6),Diameter date(6),Color date(6),Condition Code date(6),Length date(7),Diameter date(7),Color date(7),Condition Code date(7),Length date(8),Diameter date(8),Color date(8),Condition Code date(8),Length date(9),Diameter date(9),Color date(9),Condition Code date(9),Length date(10),Diameter date(10),Color date(10),Condition Code date(10),Length date(11),Diameter date(11),Color date(11),Condition Code date(11),Length date(12),Diameter date(12),Color date(12),Condition Code date(12),Length date(13),Diameter date(13),Color date(13),Condition Code date(13),Length date(14),Diameter date(14),Color date(14),Condition Code date(14),Length date(15),Diameter date(15),Color date(15),Condition Code date(15),Length date(16),Diameter date(16),Color date(16),Condition Code date(16),Length date(17),Diameter date(17),Color date(17),Condition Code date(17),Length date(18),Diameter date(18),Color date(18),Condition Code date(18),Length date(19),Diameter date(19),Color date(19),Condition Code date(19),Length date(20),Diameter date(20),Color date(20),Condition Code date(20),Length date(21),Diameter date(21),Color date(21),Condition Code date(21),Length date(22),Diameter date(22),Color date(22),Condition Code date(22),Length date(23),Diameter date(23),Color date(23),Condition Code date(23),Length date(24),Diameter date(24),Color date(24),Condition Code date(24),Length date(25),Diameter date(25),Color date(25),Condition Code date(25),Length date(26),Diameter date(26),Color date(26),Condition Code date(26),Length date(27),Diameter date(27),Color date(27),Condition Code date(27),Length date(28),Diameter date(28),Color date(28),Condition Code date(28),Length date(29),Diameter date(29),Color date(29),Condition Code date(29),Length date(30),Diameter date(30),Color date(30),Condition Code date(30),Length date(31),Diameter date(31),Color date(31),Condition Code date(31),Length date(32),Diameter date(32),Color date(32),Condition Code date(32),Length date(33),Diameter date(33),Color date(33),Condition Code date(33)
12,20,1,1,-,2/6/2017,-,513,4.800805,0.472199,4.002574,0.472199,White,NO_CODE,4.002574,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE,4.800805,0.472199,White,NO_CODE
12,20,2,2,17,2/21/2017,11/14/2017,266,2.957411,0.554865, , , ,,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.910317,0.554865,White,NO_CODE,2.957411,0.554865,White,NO_CODE,2.957411,0.554865,White,NO_CODE,2.957411,0.554865,White,NO_CODE,2.957411,0.554865,White,NO_CODE,2.957411,0.554865,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,3,3,19,3/6/2017,12/12/2017,281,4.639771,0.526241, , , ,, , , ,,4.084434,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.565749,0.445391,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,4.639771,0.526241,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,4,3,14,3/6/2017,8/31/2017,178,2.068741,0.429981, , , ,, , , ,,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,2.068741,0.429981,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,5,4,25,3/20/2017,3/4/2018,349,3.296858,0.535952, , , ,, , , ,, , , ,,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,2.536619,0.486273,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.215003,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,3.296858,0.535952,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,1,1,-,2/6/2017,-,513,5.616947,0.713182,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,4.574929,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE,5.616947,0.713182,White,NO_CODE
12,21,2,2,-,2/21/2017,-,498,9.19549,0.84507, , , ,,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.758474,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE,9.19549,0.84507,White,NO_CODE
12,21,3,3,19,3/6/2017,12/12/2017,281,2.873378,0.438207, , , ,, , , ,,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,2.873378,0.438207,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,4,3,-,3/6/2017,-,485,11.060123,0.423473, , , ,, , , ,,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,5.681403,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,7.754456,0.423473,White,NO_CODE,9.935683,0.423473,White,NO_CODE,9.342913,0.423473,White,NO_CODE,10.849625,0.423473,White,NO_CODE,9.01484,0.423473,White,NO_CODE,8.701967,0.423473,White,NO_CODE,8.747265,0.423473,White,NO_CODE,9.693059,0.423473,White,NO_CODE,9.612354,0.423473,White,NO_CODE,11.060123,0.423473,White,NO_CODE
12,21,5,4,10,3/20/2017,7/3/2017,105,3.855272,0.890782, , , ,, , , ,, , , ,,3.855272,0.890782,White,NO_CODE,3.855272,0.890782,White,NO_CODE,3.855272,0.890782,White,NO_CODE,3.855272,0.890782,White,NO_CODE,3.855272,0.890782,White,NO_CODE,3.855272,0.890782,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
