"tube","minwin","windepth","nWindows","binlength","tubelength","tubedepth"
1,11,0.524,210,12.0229007633588,132.3,110.04
2,17,0.133,204,47.3684210526316,128.52,27.132
3,17,0.405,204,15.5555555555556,128.52,82.62
4,21,0.229,200,27.5109170305677,126,45.8
5,18,0.472,203,13.3474576271186,127.89,95.816
6,NA,NA,NA,NA,NA,NA
7,17,0.344,204,18.3139534883721,128.52,70.176
8,20,0.361,201,17.4515235457064,126.63,72.561
9,23,0.213,198,29.5774647887324,124.74,42.174
10,NA,NA,NA,NA,NA,NA
11,19,0.57,202,11.0526315789474,127.26,115.14
12,20,0.18,201,35,126.63,36.18
