"","plot","treatment","date","diam2","prod.newRMLg.m2.day","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","stock.newRMLg.m2","prod.g.m2.day.arit"
"79",2,"Warming",2017-09-21,"Coarse",0,0,0,0,0
"80",4,"Warming",2017-09-21,"Coarse",0,0,0,0,0
"81",6,"Warming",2017-09-21,"Coarse",4.86134830509723,2.76501481960072,0,204.176628814084,8.53640529976865
"82",1,"Control",2017-09-21,"Coarse",0,0,0,705.13973012692,0
"83",3,"Control",2017-09-21,"Coarse",0,0,0,64.4562886430195,0
"84",5,"Control",2017-09-21,"Coarse",0,0,0,756.525030438587,0
"85",2,"Warming",2017-10-20,"Coarse",0,0,0,0,0
"86",4,"Warming",2017-10-20,"Coarse",0,0,0,0,0
"87",6,"Warming",2017-10-20,"Coarse",0,4.81842661955062,0,426.112642108453,22.8052031826343
"88",1,"Control",2017-10-20,"Coarse",0,0,0,705.13973012692,0
"89",3,"Control",2017-10-20,"Coarse",0,0,0,64.4562886430195,0
"90",5,"Control",2017-10-20,"Coarse",0,0,0,756.525030438587,0
"91",2,"Warming",2017-11-05,"Coarse",0,0,0,0,0
"92",4,"Warming",2017-11-05,"Coarse",0,0,0,0,0
"93",6,"Warming",2017-11-05,"Coarse",0,0,0,426.112642108453,0
"94",1,"Control",2017-11-05,"Coarse",0,0,0,705.13973012692,0
"95",3,"Control",2017-11-05,"Coarse",0,0,0,64.4562886430195,0
"96",5,"Control",2017-11-05,"Coarse",0,0,0,756.525030438587,0
"97",2,"Warming",2017-11-22,"Coarse",0,0,0,0,0
"98",4,"Warming",2017-11-22,"Coarse",0,0,0,0,0
"99",6,"Warming",2017-11-22,"Coarse",25.864903494725,13.895100321699,0,814.086194529325,44.7274935892653
"100",1,"Control",2017-11-22,"Coarse",0,0,0,705.13973012692,0
"101",3,"Control",2017-11-22,"Coarse",0,0,0,64.4562886430195,0
"102",5,"Control",2017-11-22,"Coarse",0,0,0,756.525030438587,0
"103",2,"Warming",2017-12-05,"Coarse",0,0,0,0,0
"104",4,"Warming",2017-12-05,"Coarse",0,0,0,0,0
"105",6,"Warming",2017-12-05,"Coarse",0,0,0,814.086194529325,0
"106",1,"Control",2017-12-05,"Coarse",0,0,0,705.13973012692,0
"107",3,"Control",2017-12-05,"Coarse",0.87602291825639,0.494915132238365,0,75.8445865803525,1.53556990764378
"108",5,"Control",2017-12-05,"Coarse",0,0,0,756.525030438587,0
"109",2,"Warming",2017-12-20,"Coarse",0,0,0,0,0
"110",4,"Warming",2017-12-20,"Coarse",0,0,0,0,0
"111",6,"Warming",2017-12-20,"Coarse",1.14044473051587,0.691340259508435,0,831.192865487065,2.03620758024607
"112",1,"Control",2017-12-20,"Coarse",41.3233125690535,20.7244712800922,0,1324.98941866272,70.216242377299
"113",3,"Control",2017-12-20,"Coarse",0.5490395299166,0.310183633201747,0,84.0801795291015,0.9624047073162
"114",5,"Control",2017-12-20,"Coarse",0,0,38.5701666265656,177.972531040103,0
"115",2,"Warming",2018-01-03,"Coarse",0,0,0,0,0
"116",4,"Warming",2018-01-03,"Coarse",0,0,0,0,0
"117",6,"Warming",2018-01-03,"Coarse",0,0,0,831.192865487065,0
"118",1,"Control",2018-01-03,"Coarse",0,0,0,1324.98941866272,0
"119",3,"Control",2018-01-03,"Coarse",0.407638368319652,0.230298080972474,0,89.7871166855765,0.714544332742525
"120",5,"Control",2018-01-03,"Coarse",0,0,0,177.972531040103,0
"121",2,"Warming",2018-01-18,"Coarse",0,0,0,0,0
"122",4,"Warming",2018-01-18,"Coarse",0,0,0,0,0
"123",6,"Warming",2018-01-18,"Coarse",0,0,0,831.192865487065,0
"124",1,"Control",2018-01-18,"Coarse",0,0,0,1324.98941866272,0
"125",3,"Control",2018-01-18,"Coarse",0,0,0,89.7871166855765,0
"126",5,"Control",2018-01-18,"Coarse",0,0,0,177.972531040103,0
"127",2,"Warming",2018-01-31,"Coarse",0,0,0,0,0
"128",4,"Warming",2018-01-31,"Coarse",0,0,0,0,0
