"","treatment","hurricane","session","date","plot","dlen.mm.cm2.day","mortLength.mm.cm2.day","len.mm.cm2","prodSA.m2.m2.day","morSA.m2.m2.day","SA.m2.m2","stock.newRMLg.m2","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","lndlen.mm.cm2.day","lnmortLength.mm.cm2.day","lnlen.mm.cm2","lnprodSA.m2.m2.day","lnmorSA.m2.m2.day","lnSA.m2.m2","lnstock.newRMLg.m2","lnprod2.newRMLg.m2.day","lnmort.newRMLg.m2.day"
"14","Control","after",15,2017-09-21,1,2.37258733105676,2.35727803265486,782.301016090323,0.0149407926660514,0.0170372427001677,13.2335593077313,971.114592921203,0.845402265823583,0.165610228788233,0.702767603016763,0.629533825113781,6.61173907361082,-4.30791607769324,-4.24966566441742,2.30123916549215,5.81823859250705,-0.573159585576066,-1.98310540629992
"15","Control","after",16,2017-10-20,1,11.0014751706979,3.36674146069539,896.822021740361,0.12770116070574,0.0237284837356284,14.9451481803486,1003.77005449817,4.50744164261618,0.197732548825122,1.95625134798185,1.21382506420753,6.70666930749749,-2.55121077938883,-3.73820397617129,2.37884234385363,5.8524508899582,0.973238114098942,-1.64012760620805
"16","Control","after",17,2017-11-05,1,25.863240489313,3.69280983560091,1295.88977350718,0.216036702052594,0.0328633064729393,18.4251240272197,1044.3776500422,6.33184857403111,0.360972161486496,2.97763345024609,1.26426155899317,7.02102671720928,-1.94404529719299,-3.47841013703349,2.56444419984792,5.91970504796946,1.43880167928684,-1.09634189150883
"17","Control","after",18,2017-11-22,1,38.7565499559083,1.22557075396825,1858.85446153628,0.317004302271274,0.00754654581374885,23.4992331122249,1101.45784269294,9.61092448349586,0.0551089675056271,3.34706552559873,0.189806165701217,7.33812555979693,-1.43306098602457,-4.87893879340338,2.81233785581737,6.07652975906248,1.97525981658439,-2.99267376443898
"18","Control","after",19,2017-12-05,1,30.944447842171,2.6113008038258,2224.89391774376,0.167045016707116,0.0236424026891461,26.1907820205012,1128.25880222891,6.11987631102761,0.281593123721353,3.40862939306279,-3.77866277730278,7.54665712039567,-1.80404812255072,-6.12989701764378,2.95887077552057,6.15678494790514,1.7658619843879,-4.89215385981196
"19","Control","after",20,2017-12-20,1,79.3056791175358,5.21767134227765,3336.21403437263,0.964485086606707,0.0535719163377665,40.8898255785604,1919.93889526487,43.8089380017245,0.767572788950863,3.62586258503103,1.63957260104626,7.82648104387881,-0.984298087039942,-2.94510994590424,3.2502125760509,6.47785244192368,2.70721758374845,-0.313082587203863
"20","Control","after",21,2018-01-03,1,114.201789065706,9.65383406084655,4799.88540444065,0.952198291720076,0.0693818321529101,53.9904236266709,2094.24526841411,29.0163665250717,0.608484237989238,4.27993302998282,2.25366640578806,8.12252651792014,-0.559490251441884,-2.70343267247568,3.50799943221844,6.64818955004618,2.89499203755342,-0.564305410056081
"21","Control","after",22,2018-01-18,1,97.8327948897705,3.69764497921391,6211.91265309901,0.873779684432649,0.0279007218278961,67.7804841677201,2294.29916374428,28.487132222673,0.262893934833254,4.04886364975235,1.30770491445832,8.33490297444711,-0.82360360924031,-3.59124158816301,3.68991020534802,6.7374308867811,2.6140111332163,-1.4251981002614
"22","Control","after",23,2018-01-31,1,122.403932756991,8.53963783359497,7691.39547136242,0.951447847715204,0.0532917975181596,80.7883141098522,2466.02771132332,30.4909981952265,0.71026108232771,4.05089636695235,2.14450496043458,8.47615103143865,-0.98415312189883,-2.94916669833108,3.79984229118966,6.76965491580014,2.49857669655181,-0.663082339402077
"23","Control","after",24,2018-02-15,1,53.0208296970269,3.49588941987906,8434.26957551964,0.32741310685327,0.0282994746685203,86.5842955144969,2535.41122696299,11.5252523086755,0.33781876614979,3.7066053575094,1.19268277717856,8.580900266313,-1.27565330646093,-3.56185198362411,3.91212021300674,6.89370524452248,2.30225552785299,-1.20747639964198
"24","Control","after",25,2018-02-27,1,93.9346413416476,45.9008211678004,8788.17943466552,0.775234976625022,0.393986371738912,90.3059277504019,2621.89043015671,29.2799783944734,4.49438579470051,4.16767161729355,3.68407066655763,8.61010541998275,-0.853381554701208,-1.14729117703962,3.94412755739456,6.92882329634499,2.81379821575049,1.18250629743611
"25","Control","after",26,2018-03-16,1,45.3979824259102,15.1105429787887,9435.45507240173,0.308276802760598,0.139057893677184,95.0435850992183,2688.21199202413,11.3943115093126,1.82687678482662,3.19618572329064,2.19212560458343,8.67239833297833,-1.94651558216391,-2.58604597229834,3.99083757424688,6.95406052251141,1.66828145956196,-0.0591568645476349
"26","Control","after",27,2018-04-04,1,81.4009217363135,11.0180264536767,10419.0478750094,0.672605391105041,0.10383616753069,104.846786498234,2822.89600167478,24.0594300858616,1.58083297012664,3.51448508104335,2.36864895631903,8.70634699217714,-1.79311093136954,-2.30640020645643,4.01307272005658,6.93235447770015,2.12266453305149,0.419865812485684
"27","Control","after",28,2018-04-18,1,78.6659272365294,8.9361607095616,11395.264606387,0.458490461177508,0.0640192666167097,112.743700363301,2925.97947035174,17.6863152411275,0.63519760193894,3.16656507002579,2.18774574592393,8.73563123953629,-1.80937873937922,-2.77093193059714,4.03135723448457,6.93232982041941,1.67955629365547,-0.587320338257904
"28","Control","after",29,2018-05-02,1,27.3767858033689,21.7186592754562,11474.4783777778,0.0952725972054716,0.18670234387952,112.786055372612,2919.3326186471,4.88058896710518,2.32355868057504,2.89861775182784,3.07619745540662,8.6900086584307,-2.59188978902715,-1.70141654520124,3.98777196947232,6.90489506152015,1.22917553894516,0.745573601324905
"29","Control","after",30,2018-05-16,1,23.073897446955,12.0706017769409,11628.524517158,0.106284507222918,0.0856335614802803,114.346949212381,2943.87014706753,5.65052774610692,0.812957496878158,2.51668791396549,2.48140776112934,8.66976806677837,-2.89566082647336,-2.45787675428197,3.96907825458986,6.88433838753765,1.02959323068152,-0.212757398274459
"30","Control","after",31,2018-05-30,1,22.172775500081,43.3764826814058,11310.6663953042,0.119529431503976,0.36379535305477,111.762265529291,2921.49092954014,5.87793832593907,4.11232633833753,2.82953485461134,3.52346671634442,8.61834491290037,-2.44993408008457,-1.24024155305273,3.91080520103264,6.82014869917344,1.36750705714748,1.26114414098549
"31","Control","after",32,2018-06-14,1,42.657405723104,23.0892229232804,11554.8793758125,0.343034235761669,0.199232655550196,115.14928928405,3014.94309345665,15.2715729548655,2.42853215916606,3.02349640236903,2.73925075124941,8.62648789632411,-1.88786210642746,-2.05098834087371,3.92215270615389,6.83717613028836,1.74885736814807,0.38924501718788
"32","Control","after",33,2018-06-27,1,55.8132592650734,69.9509525946272,11371.0893625283,0.407710112624872,0.695264553100688,114.2910007128,3028.54750994127,20.781071442262,10.8912108699904,3.18386759116113,3.34456072573281,8.6157712999272,-2.02740141866732,-1.42318765830722,3.91973971730839,6.85288862343863,2.01124011850696,1.11061182401023
"46","Warming","after",15,2017-09-21,2,2.48230799252241,0.182428712702012,376.429861366212,0.0212484580300448,0.00224400406605511,6.86079875514682,348.564591506438,0.673001241003466,0.0337279293649793,0.769463189618769,-5.10915747345391,5.74910369512206,-4.048402870935,-7.29732483960944,1.61959857850461,5.24719679659156,-0.657444278053895,-5.95257042927973
"47","Warming","after",16,2017-10-20,2,5.8962987515747,0.197552166792643,461.911060137943,0.0502481372854222,0.00226734807114508,7.8155039602867,365.202122275948,2.12039197212464,0.0313446260063776,1.76478647268368,-5.06934635979746,6.00284964781422,-2.99211707000985,-7.29226250565421,1.82049149057552,5.3835133498454,0.747541308070511,-5.98915586921254
"48","Warming","after",17,2017-11-05,2,3.98530375356933,4.09042845070126,460.018815589569,0.0352542272732397,0.0533529969301596,7.55051183510129,358.663513279996,1.19013226582026,0.973967428557732,1.38263785912747,0.884940457908472,6.06361443125898,-3.41873763158341,-3.52554697316013,1.83211888449746,5.37755463194766,0.0190038044349536,-0.701757379148401
"49","Warming","after",18,2017-11-22,2,11.0282160840262,3.4341981941295,573.929083938019,0.111966464965405,0.0461333412647333,8.75569372199846,366.01459844716,3.91473156959497,1.39851396690764,2.25447228603469,1.22897918707388,6.34381232480888,-2.24498794575221,-3.15089887043347,2.04154446047184,5.2923663622767,1.36336267579875,-0.241392505434012
