"","date","plot","treatment","moisture","hurricane","session","dlen.mm.cm2.day","mortLength.mm.cm2.day","len.mm.cm2","prodSA.m2.m2.day","morSA.m2.m2.day","SA.m2.m2","stock.newRMLg.m2","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","lndlen.mm.cm2.day","lnmortLength.mm.cm2.day","lnlen.mm.cm2","lnprodSA.m2.m2.day","lnmorSA.m2.m2.day","lnSA.m2.m2","lnstock.newRMLg.m2","lnprod2.newRMLg.m2.day","lnmort.newRMLg.m2.day","temperature"
"1",2017-02-14,1,"Control",0.367483236265432,"before",2,2.63659515998992,0,634.313366024187,0.0207949277577035,0,11.7937209983473,618.60454092808,0.837517677962867,0,0.958671291466955,-9.21034037197618,6.33621875507495,-4.11236108638368,-9.21034037197618,2.06657244865326,5.79883849731578,-0.294456725899537,-9.21034037197618,22.3340286234568
"2",2017-02-14,2,"Warming",0.344328331203704,"before",2,3.51675866528092,0,278.301366770597,0.0262930361458745,0,3.40322477093129,115.401362505591,1.31825458030902,0,1.23134996672084,-9.21034037197618,5.6280015610302,-3.63621282902384,-9.21034037197618,1.21839547257484,4.73163116728647,0.268395237846768,-9.21034037197618,25.6952973302469
"3",2017-02-14,3,"Control",0.389618754722222,"before",2,8.64287719198791,0,678.475994047618,0.110763135346807,0,11.1435502628402,417.321709641253,3.7452903144607,0,1.8434018287854,-9.21034037197618,6.22307411585529,-2.31100400218049,-9.21034037197618,2.00683897656364,5.59867448919455,1.26460464828606,-9.21034037197618,22.3932727160494
"4",2017-02-14,4,"Warming",0.286342024845679,"before",2,7.78816292265056,0,848.249002569921,0.0463195064720868,0,19.9291709692934,938.053796381005,18.3489579148986,0,2.05261784691064,-9.21034037197618,6.7431743456855,-3.07003550998713,-9.21034037197618,2.99218955399185,6.84380740618389,2.9095782333951,-9.21034037197618,25.9952807253086
"5",2017-02-14,5,"Control",0.364004369805556,"before",2,2.24237346560847,0,990.363407369615,0.016006310441881,0,18.8871355083469,911.229712219331,0.441672495902009,0,0.807579482376224,-9.21034037197618,6.89807205489609,-4.12854413087334,-9.21034037197618,2.93848632397186,6.81479512913434,-0.816960244569582,-9.21034037197618,22.334384037037
"6",2017-02-14,6,"Warming",0.338336715216049,"before",2,6.78425929075333,0.76467650793651,1217.72774025888,0.0541264485646626,0.00763129006240015,14.5377951955042,527.1371283711,2.30611137968974,0.089125131962631,1.84584412738172,-4.39271510322884,7.0224862514269,-3.08876108769986,-6.69308048023515,2.66681867455549,6.26488010617747,0.686805871396932,-5.46717312966904,24.5871639876543
"7",2017-02-27,1,"Control",0.345863979843305,"before",3,8.54198694110121,4.83898835106691,682.452347694633,0.0313685385106151,0.076562223725302,11.4308081057588,596.746177419276,1.36416322456083,2.35859663363928,1.95213076440752,-3.47023858911241,6.4269459725463,-3.8394933873457,-5.54309591386193,2.08923333036308,5.83528286835292,0.265376998735964,-3.82955259859616,22.2793588853276
"8",2017-02-27,2,"Warming",0.333592989779202,"before",3,1.16207073667073,0.490580945839873,287.030734051398,0.0146462278636965,0.00327265739724068,3.53916279862636,120.236300938926,0.449912864436066,0.0235038305907038,0.118242107057387,-4.61462813151292,5.65855540130563,-6.33690290906783,-7.11209179339014,1.25952936220117,4.7772694741103,-0.99311479841134,-6.13283000269197,25.7067564423077
"9",2017-02-27,3,"Control",0.373411077065527,"before",3,16.0396741452991,0,886.991757936506,0.198406861765431,0,14.3102153722109,529.688856510939,8.64362668228361,0,2.68767900608579,-9.21034037197618,6.55908967162432,-1.69895887266016,-9.21034037197618,2.35146231130217,5.93613935636517,2.03407749497302,-9.21034037197618,22.3353880128205
"10",2017-02-27,4,"Warming",0.278558456089744,"before",3,5.12333441479158,2.76332549566836,877.953491307637,0.0300017320681285,0.0705812842111043,20.4180270565771,966.690980035031,5.35494147711898,2.56238483241132,1.63382499831527,1.01647103179327,6.77759373495753,-3.50317256509124,-2.64957446232524,3.01642308750036,6.8738789821962,1.67803844936346,0.940977425388012,25.6679868269231
