"","session","tube","treatment","diam2","hurricane","depthbin.cm.","date","prodbybin","prodbybin.bystock","prod2mg.bin","mortbybin","stockbybin","dlenbybin","mortLengthbybin","lenbybin","prodSAbybin","morSAbybin","SAbybin","prodnewRMLbybin","prod2newRMLbybin","stocknewRMLbybin","mornewRMLbybin","binlength","tubelength","tubedepth","added","plot","dur","prod.mg.cm3","prod.mg.cm3.day","prod2bin.mg.cm3","prod2.mg.cm3.day","prodbystock.mg.cm3","prodbystock.mg.cm3.day","mort.mg.cm3","mort.mg.cm3.day","stock.mg.cm3","dlen.mm.cm3","dlen.mm.cm3.day","mortLength.mm.cm3","mortLength.mm.cm3.day","len.mm.cm3","prod.mg.newRMLmg.cm3","prod.mg.newRMLmg.cm3.day","mort.mg.newRML.cm3","mort.mg.newRML.cm3.day","stock.mg.newRML.cm3","prod2.mg.newRML.cm3","prod2.mg.newRML.cm3.day","prodSA.mm2.cm3","prodSA.mm2.cm3.day","morSA.mm2.cm3","morSA.mm2.cm3.day","SA.mm2.cm3","prod.mg.cm2","prod.mg.cm2.day","prod2.mg.cm2","prod2.mg.cm2.day","prodbystock.mg.cm2","prodbystock.mg.cm2.day","mort.mg.cm2","mort.mg.cm2.day","stock.mg.cm2","dlen.mm.cm2","dlen.mm.cm2.day","mortLength.mm.cm2","mortLength.mm.cm2.day","len.mm.cm2","stock.newRMLmg.cm2","prod.newRMLmg.cm2","prod.newRMLmg.cm2.day","prod2.newRMLmg.cm2","prod2.newRMLmg.cm2.day","mort.newRMLmg.cm2","mort.newRMLmg.cm2.day","prodSA.mm2.cm2","prodSA.mm2.cm2.day","morSA.mm2.cm2","morSA.mm2.cm2.day","SA.mm2.cm2","SA.m2.m2","prodSA.m2.m2.day","morSA.m2.m2.day","stock.newRMLg.m2","prod.newRMLg.m2.day","mort.newRMLg.m2.day","stock.g.m2","prod.g.m2.day","mort.g.m2.day","prod.g.m2.day.arit","prod2.g.m2.day","prod2.newRMLg.m2.day"
"1",2,7,"Warming","Fine","before","50-60",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3139534883721,128.52,70.176,"added",6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,7,"Warming","Finer","before","10-20",2017-02-14,0.0305917107389657,0.0305917107389657,0.0305917107389657,0,1.82478867242332,1.914383,0,96.735056,0,0,74.0122778940025,0.0345252431470106,0.0345252431470106,1.91943802734342,0,18.3139534883721,128.52,70.176,NA,6,15,0.0198857681296376,0.00132571787530917,0.0198857681296376,0.00132571787530917,0.0198857681296376,0.00132571787530917,0,0,1.18618160112173,1.24442130007559,0.082961420005039,0,0,62.881442297808,0.0224427128544438,0.00149618085696292,0,0,1.24770725889293,0.0224427128544438,0.00149618085696292,0,0,0,0,48.110777769344,0.198857681296376,0.0132571787530917,0.198857681296376,0.0132571787530917,0.198857681296376,0.0132571787530917,0,0,11.8618160112173,12.4442130007559,0.82961420005039,0,0,628.81442297808,12.4770725889293,0.224427128544438,0.0149618085696292,0.224427128544438,0.0149618085696292,0,0,0,0,0,0,481.10777769344,4.8110777769344,0,0,124.770725889293,0.149618085696292,0,118.618160112173,0.132571787530917,0,0.132571787530917,0.132571787530917,0.149618085696292
"3",2,9,"Control","Coarse","before","30-40",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5774647887324,124.74,42.174,"added",5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2,3,"Warming","Coarse","before","40-50",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5555555555556,128.52,82.62,"added",2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2,11,"Control","Coarse","before","80-90",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0526315789474,127.26,115.14,"added",3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2,1,"Control","Coarse","before","30-40",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0229007633588,132.3,110.04,"added",1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2,8,"Warming","Coarse","before","50-60",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4515235457064,126.63,72.561,"added",6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,7,"Warming","Coarse","before","30-40",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3139534883721,128.52,70.176,"added",6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,5,"Warming","Fine","before","60-70",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3474576271186,127.89,95.816,"added",4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,11,"Control","Fine","before","80-90",2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0526315789474,127.26,115.14,"added",3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
