Date,Direction,Location,LAI Plot 1,LAI Plot 2,LAI Plot 3,LAI Plot 4,LAI Plot 5,LAI Plot 6,Average,SE,LAI Weather Station
2017-08-04,unknown,inside,6.97,6.38,6.33,6.06,6.50,6.59,6.47,0.123973563,NA
2018-01-11,unknown,inside,0.60,0.35,0.38,0.47,0.28,0.27,0.39,0.051213063,NA
2018-01-29,unknown,inside,0.56,0.46,0.56,0.58,0.38,0.67,0.54,0.041291646,NA
2018-08-27,west,outside,1.98,1.23,1.10,2.16,1.04,1.88,1.57,0.202447524,NA
2018-12-13,west,outside,4.35,3.92,4.79,3.00,3.54,3.77,3.90,0.255039213,NA
2019-02-07,west,outside,3.91,2.95,4.70,3.67,3.78,4.26,3.88,0.240602254,NA
2019-03-07,west,outside,3.53,3.89,4.86,3.74,4.64,4.69,4.23,0.232533152,NA
2019-04-10,west,outside,4.37,4.09,5.20,3.58,3.79,4.30,4.22,0.230989418,NA
2019-05-22,west,outside,4.58,3.55,5.70,3.37,4.39,4.17,4.29,0.341102787,NA
2019-07-11,west,outside,4.29,3.97,5.07,3.07,4.34,3.85,4.10,0.269251019,2.92
2019-07-11,center,outside,4.87,4.17,6.05,3.46,4.90,3.96,4.57,0.372087953,2.40
2019-08-23,west,outside,4.78,4.62,6.73,3.93,4.86,4.08,4.83,0.40946849,3.32
2019-08-23,center,outside,4.66,4.46,6.82,3.16,5.08,4.54,4.79,0.48477257,2.81
2019-09-19,west,outside,6.08,5.46,6.61,4.54,5.23,4.51,5.41,0.341103601,NA
2019-09-19,center,outside,5.92,5.68,7.32,4.99,6.08,4.73,5.79,0.374945922,NA
2019-10-30,west,outside,6.35,6.75,7.03,5.31,5.61,5.13,6.03,0.322779595,7.05
2019-10-30,center,outside,6.49,6.92,7.46,5.31,6.48,5.14,6.30,0.370773965,6.23
2020-02-27,west,outside,3.67,3.13,3.70,2.74,2.10,2.24,2.93,0.281756396,3.30
2020-02-27,center,outside,3.67,3.00,3.91,3.11,2.15,2.32,3.03,0.286922367,3.47
2020-05-21,west,outside,5.80,5.44,6.22,5.07,4.85,5.07,5.41,0.212436919,6.33
