date,direction,location,plot,LAI,msmt_type,treatment,group
8/4/2017,unknown,inside,P1,6.97,original,control,plot
1/11/2018,unknown,inside,P1,0.6,original,control,plot
1/29/2018,unknown,inside,P1,0.56,original,control,plot
8/27/2018,west,outside,P1,1.98,original,control,plot
12/13/2018,west,outside,P1,4.35,original,control,plot
2/7/2019,west,outside,P1,3.91,original,control,plot
3/7/2019,west,outside,P1,3.53,original,control,plot
4/10/2019,west,outside,P1,4.37,original,control,plot
5/22/2019,west,outside,P1,4.58,original,control,plot
7/11/2019,west,outside,P1,4.29,original,control,plot
7/11/2019,center,outside,P1,4.87,center,control,plot
8/23/2019,west,outside,P1,4.78,original,control,plot
8/23/2019,center,outside,P1,4.66,center,control,plot
9/19/2019,west,outside,P1,6.08,original,control,plot
9/19/2019,center,outside,P1,5.92,center,control,plot
10/30/2019,west,outside,P1,6.35,original,control,plot
10/30/2019,center,outside,P1,6.49,center,control,plot
2/27/2020,west,outside,P1,3.67,original,control,plot
2/27/2020,center,outside,P1,3.67,center,control,plot
5/21/2020,west,outside,P1,5.8,original,control,plot
5/21/2020,center,outside,P1,6.18,center,control,plot
7/2/2020,west,outside,P1,5.56,original,control,plot
7/2/2020,center,outside,P1,5.82,center,control,plot
8/21/2020,west,outside,P1,6.09,original,control,plot
8/21/2020,center,outside,P1,6.11,center,control,plot
9/23/2020,west,outside,P1,6.36,original,control,plot
9/23/2020,center,outside,P1,6.3,center,control,plot
10/21/2020,west,outside,P1,6.34,original,control,plot
10/21/2020,center,outside,P1,6.51,center,control,plot
11/24/2020,west,outside,P1,6.59,original,control,plot
11/24/2020,center,outside,P1,6.65,center,control,plot
12/22/2020,west,outside,P1,6.78,original,control,plot
12/22/2020,center,outside,P1,6.73,center,control,plot
1/21/2021,west,outside,P1,5.93,original,control,plot
1/21/2021,center,outside,P1,6.16,center,control,plot
2/21/2021,west,outside,P1,6.03,original,control,plot
2/21/2021,center,outside,P1,6.11,center,control,plot
3/31/2021,west,outside,P1,5.32,original,control,plot
3/31/2021,center,outside,P1,5.54,center,control,plot
4/22/2021,west,outside,P1,5.09,original,control,plot
4/22/2021,center,outside,P1,5.51,center,control,plot
5/20/2021,west,outside,P1,5.4,original,control,plot
5/20/2021,center,outside,P1,5.54,center,control,plot
7/22/2021,west,outside,P1,5.92,original,control,plot
7/22/2021,center,outside,P1,6.1,center,control,plot
9/23/2021,west,outside,P1,6.27,original,control,plot
9/23/2021,center,outside,P1,6.6,center,control,plot
12/9/2021,west,outside,P1,6.9,original,control,plot
12/9/2021,center,outside,P1,7.03,center,control,plot
2/18/2022,west,outside,P1,5.84,original,control,plot
2/18/2022,center,outside,P1,5.87,center,control,plot
4/14/2022,west,outside,P1,5.69,original,control,plot
4/14/2022,center,outside,P1,5.35,center,control,plot
6/8/2022,west,outside,P1,4.95,original,control,plot
6/8/2022,center,outside,P1,4.72,center,control,plot
8/16/2022,west,outside,P1,6.02,original,control,plot
8/16/2022,center,outside,P1,5.67,center,control,plot
10/18/2022,west,outside,P1,6.08,original,control,plot
10/18/2022,center,outside,P1,5.8,center,control,plot
12/8/2022,west,outside,P1,5.9,original,control,plot
12/8/2022,center,outside,P1,5.85,center,control,plot
2/8/2023,west,outside,P1,5.66,original,control,plot
2/8/2023,center,outside,P1,5.72,center,control,plot
4/13/2023,west,outside,P1,5.2,original,control,plot
4/13/2023,center,outside,P1,5.14,center,control,plot
6/27/2023,west,outside,P1,5.87,original,control,plot
6/27/2023,center,outside,P1,5.42,center,control,plot
9/8/2023,west,outside,P1,5.41,original,control,plot
9/8/2023,center,outside,P1,6.15,center,control,plot
11/14/2023,west,outside,P1,5.47,original,control,plot
11/14/2023,center,outside,P1,6.1,center,control,plot
1/17/2024,west,outside,P1,5.57,original,control,plot
1/17/2024,center,outside,P1,5.34,center,control,plot
3/15/2024,west,outside,P1,5.61,original,control,plot
3/15/2024,center,outside,P1,5.69,center,control,plot
5/10/2024,west,outside,P1,5.64,original,control,plot
5/10/2024,center,outside,P1,5.32,center,control,plot
8/9/2024,west,outside,P1,6.01,original,control,plot
8/9/2024,center,outside,P1,6.06,center,control,plot
10/22/2024,west,outside,P1,6.04,original,control,plot
10/22/2024,center,outside,P1,5.94,center,control,plot
8/4/2017,unknown,inside,P2,6.38,original,warmed,plot
1/11/2018,unknown,inside,P2,0.35,original,warmed,plot
1/29/2018,unknown,inside,P2,0.46,original,warmed,plot
8/27/2018,west,outside,P2,1.23,original,warmed,plot
12/13/2018,west,outside,P2,3.92,original,warmed,plot
2/7/2019,west,outside,P2,2.95,original,warmed,plot
3/7/2019,west,outside,P2,3.89,original,warmed,plot
4/10/2019,west,outside,P2,4.09,original,warmed,plot
5/22/2019,west,outside,P2,3.55,original,warmed,plot
7/11/2019,west,outside,P2,3.97,original,warmed,plot
7/11/2019,center,outside,P2,4.17,center,warmed,plot
8/23/2019,west,outside,P2,4.62,original,warmed,plot
8/23/2019,center,outside,P2,4.46,center,warmed,plot
9/19/2019,west,outside,P2,5.46,original,warmed,plot
9/19/2019,center,outside,P2,5.68,center,warmed,plot
10/30/2019,west,outside,P2,6.75,original,warmed,plot
10/30/2019,center,outside,P2,6.92,center,warmed,plot
2/27/2020,west,outside,P2,3.13,original,warmed,plot
2/27/2020,center,outside,P2,3,center,warmed,plot
5/21/2020,west,outside,P2,5.44,original,warmed,plot
