date,plot,msmt.location,n.openings,e.openings,s.openings,w.openings,n.conversion,e.conversion,s.conversion,w.conversion,
1-Jun-15,1,center,,,,,20.8333,25.0000,12.5000,16.6667,
1-Jun-15,2,center,,,,,4.1667,25.0000,12.5000,16.6667,
1-Jun-15,3,center,,,,,20.8333,12.5000,12.5000,12.5000,
1-Jun-15,4,center,,,,,20.8333,12.5000,12.5000,20.8333,
1-Jun-15,5,center,,,,,25.0000,8.3333,8.3333,16.6667,
1-Jun-15,6,center,,,,,20.8333,25.0000,8.3333,8.3333,
1-Jun-17,1,center,,,,,16.6667,16.6667,12.5000,8.3333,
1-Jun-17,2,center,,,,,12.5000,8.3333,8.3333,16.6667,
1-Jun-17,3,center,,,,,8.3333,4.1667,12.5000,8.3333,
1-Jun-17,4,center,,,,,16.6667,20.8333,16.6667,12.5000,
1-Jun-17,5,center,,,,,16.6667,12.5000,12.5000,4.1667,
1-Jun-17,6,center,,,,,4.1667,12.5000,8.3333,8.3333,
18-Sep-17,1,center,19,15,19,16,19.76,15.6,19.76,16.64,
18-Sep-17,2,center,31,23,13,20,32.24,23.92,13.52,20.8,
18-Sep-17,3,center,16,15,26,37,16.64,15.6,27.04,38.48,
18-Sep-17,4,center,22,18,29,22,22.88,18.72,30.16,22.88,
18-Sep-17,5,center,19,62,45,67,19.76,64.48,46.8,69.68,
18-Sep-17,6,center,21,12,37,39,21.84,12.48,38.48,40.56,
17-Oct-17,1,center,53,35,60,82,55.12,36.4,62.4,85.28,
17-Oct-17,2,center,52,69,80,57,54.08,71.76,83.2,59.28,
17-Oct-17,3,center,59,89,41,57,61.36,92.56,42.64,59.28,
17-Oct-17,4,center,34,76,84,79,35.36,79.04,87.36,82.16,
17-Oct-17,5,center,82,85,60,72,85.28,88.4,62.4,74.88,
17-Oct-17,6,center,21,63,71,57,21.84,65.52,73.84,59.28,
30-Jan-18,1,center,51,48,33,48,53.04,49.92,34.32,49.92,
30-Jan-18,2,center,68,50,49,75,70.72,52,50.96,78,
30-Jan-18,3,center,70,54,51,72,72.8,56.16,53.04,74.88,
30-Jan-18,4,center,83,75,29,69,86.32,78,30.16,71.76,
