basket.id,category,date,method,weight,wt.kg.ha,wt.Mg.ha
LB01,leaves,05/02/2017,bb.sample.wt,2.108,108.8842975,0.108884298
LB02,leaves,05/02/2017,bb.sample.wt,1.821,94.05991736,0.094059917
LB03,leaves,05/02/2017,bb.sample.wt,4.112,212.3966942,0.212396694
LB04,leaves,05/02/2017,bb.sample.wt,1.281,66.16735537,0.066167355
LB05,leaves,05/02/2017,bb.sample.wt,1.335,68.95661157,0.068956612
LB06,leaves,05/02/2017,bb.sample.wt,3.442,177.7892562,0.177789256
LB07,leaves,05/02/2017,bb.sample.wt,3.445,177.9442149,0.177944215
LB08,leaves,05/02/2017,bb.sample.wt,5.906,305.0619835,0.305061983
LB09,leaves,05/02/2017,bb.sample.wt,5.255,271.4359504,0.27143595
LB10,leaves,05/02/2017,bb.sample.wt,4.355,224.9483471,0.224948347
LB11,leaves,05/02/2017,bb.sample.wt,5.159,266.4772727,0.266477273
LB12,leaves,05/02/2017,bb.sample.wt,5.47,282.5413223,0.282541322
LB13,leaves,05/02/2017,bb.sample.wt,2.487,128.4607438,0.128460744
LB14,leaves,05/02/2017,bb.sample.wt,1.764,91.11570248,0.091115702
LB15,leaves,05/02/2017,bb.sample.wt,5.858,302.5826446,0.302582645
LB16,leaves,05/02/2017,bb.sample.wt,3.317,171.3326446,0.171332645
LB17,leaves,05/02/2017,bb.sample.wt,6.524,336.9834711,0.336983471
LB18,leaves,05/02/2017,bb.sample.wt,4.916,253.9256198,0.25392562
LB19,leaves,05/02/2017,bb.sample.wt,2.801,144.6797521,0.144679752
LB20,leaves,05/02/2017,bb.sample.wt,2.751,142.0971074,0.142097107
LB01,leaves,05/16/2017,bb.sample.wt,4.075,210.4855372,0.210485537
LB02,leaves,05/16/2017,bb.sample.wt,5.047,260.6921488,0.260692149
LB03,leaves,05/16/2017,bb.sample.wt,6.03,311.4669421,0.311466942
LB04,leaves,05/16/2017,bb.sample.wt,4.747,245.196281,0.245196281
LB05,leaves,05/16/2017,bb.sample.wt,3.713,191.7871901,0.19178719
LB06,leaves,05/16/2017,bb.sample.wt,4.453,230.0103306,0.230010331
LB07,leaves,05/16/2017,bb.sample.wt,7.001,361.6219008,0.361621901
LB08,leaves,05/16/2017,bb.sample.wt,3.075,158.8326446,0.158832645
LB09,leaves,05/16/2017,bb.sample.wt,3.117,161.0020661,0.161002066
LB10,leaves,05/16/2017,bb.sample.wt,3.908,201.8595041,0.201859504
LB11,leaves,05/16/2017,bb.sample.wt,7.813,403.5640496,0.40356405
LB12,leaves,05/16/2017,bb.sample.wt,6.176,319.0082645,0.319008264
LB13,leaves,05/16/2017,bb.sample.wt,8.878,458.5743802,0.45857438
LB14,leaves,05/16/2017,bb.sample.wt,10.55,544.9380165,0.544938017
LB15,leaves,05/16/2017,bb.sample.wt,9.853,508.9359504,0.50893595
LB16,leaves,05/16/2017,bb.sample.wt,11.595,598.9152893,0.598915289
LB17,leaves,05/16/2017,bb.sample.wt,14.811,765.0309917,0.765030992
LB18,leaves,05/16/2017,bb.sample.wt,6.021,311.0020661,0.311002066
LB19,leaves,05/16/2017,bb.sample.wt,10.009,516.9938017,0.516993802
LB20,leaves,05/16/2017,bb.sample.wt,2.377,122.7789256,0.122778926
LB01,leaves,05/30/2017,bb.sample.wt,4.613,238.2747934,0.238274793
LB02,leaves,05/30/2017,bb.sample.wt,5.11,263.946281,0.263946281
LB03,leaves,05/30/2017,bb.sample.wt,3.176,164.0495868,0.164049587
LB04,leaves,05/30/2017,bb.sample.wt,7.267,375.3615702,0.37536157
LB05,leaves,05/30/2017,bb.sample.wt,3.83,197.8305785,0.197830579
LB06,leaves,05/30/2017,bb.sample.wt,6.052,312.6033058,0.312603306
LB07,leaves,05/30/2017,bb.sample.wt,7.298,376.9628099,0.37696281
LB08,leaves,05/30/2017,bb.sample.wt,3.61,186.4669421,0.186466942
LB09,leaves,05/30/2017,bb.sample.wt,4.318,223.0371901,0.22303719
LB10,leaves,05/30/2017,bb.sample.wt,7.214,372.6239669,0.372623967
LB11,leaves,05/30/2017,bb.sample.wt,10.369,535.588843,0.535588843
