date,plot,height_avg_plot,height_max_plot,n,sd,se,treatment
09/13/2018,1,145,145,1,,,control
09/13/2018,2,74,74,1,,,warmed
09/13/2018,3,100,100,1,,,control
09/13/2018,4,84,84,1,,,warmed
09/13/2018,5,105,105,1,,,control
09/13/2018,6,55,55,1,,,warmed
11/23/2018,1,145.9230769,194,13,45.77565135,12.69588139,control
11/23/2018,2,121.5384615,213,13,48.89549295,13.56116977,warmed
11/23/2018,3,157.3076923,218,13,42.30126991,11.73226136,control
11/23/2018,4,111.6153846,192,13,55.7278184,15.4561159,warmed
11/23/2018,5,125.7692308,182,13,34.54020326,9.579728762,control
11/23/2018,6,154.6153846,226,13,48.63561531,13.48909268,warmed
12/10/2018,1,158.7692308,219,13,50.05189614,13.88189831,control
12/10/2018,2,111.8461538,186,13,45.41080296,12.59469066,warmed
12/10/2018,3,138.0769231,181,13,40.16520372,11.13982319,control
12/10/2018,4,91.23076923,141,13,35.30617001,9.792169717,warmed
12/10/2018,5,96.07692308,152,13,40.473163,11.22523573,control
12/10/2018,6,106.7692308,204,13,42.33232383,11.74087417,warmed
01/16/2019,1,161.6153846,224,13,58.13853923,16.12472956,control
01/16/2019,2,119.0769231,240,13,49.93405908,13.84921619,warmed
01/16/2019,3,178.7692308,240,13,32.08622198,8.899116815,control
01/16/2019,4,134.5384615,211,13,62.80209044,17.41816595,warmed
01/16/2019,5,209.2307692,287,13,73.94384564,20.50833284,control
01/16/2019,6,165.3846154,253,13,54.80197451,15.19933301,warmed
02/21/2019,1,171.5384615,222,13,52.81195475,14.64740083,control
02/21/2019,2,126.6153846,188,13,34.7288028,9.632036863,warmed
02/21/2019,3,156.6153846,215,13,48.44161169,13.43528576,control
02/21/2019,4,125.5384615,211,13,49.73532511,13.7940973,warmed
02/21/2019,5,138.3076923,225,13,54.17007879,15.02407667,control
02/21/2019,6,172.3846154,257,13,63.21331408,17.53221886,warmed
04/12/2019,1,206.4615385,268,13,60.71739919,16.83997662,control
04/12/2019,2,166.5384615,249,13,65.71227103,18.22530482,warmed
04/12/2019,3,181.7692308,240,13,42.18442415,11.69985418,control
